"","FC","log2(FC)","p.ajusted","-log10(p)"
"C17H39P3",494.8,8.9507,0.00025261,3.5975
"Decytospolide A",154.23,7.269,0.00025261,3.5975
"C14H33N4O5P",0.016639,-5.9093,0.00025261,3.5975
"(-)-beta-Pinene",39.658,5.3096,0.00025261,3.5975
"Nb-acetyltryptamine",22.923,4.5187,0.00025261,3.5975
"mz_185.10167_&_RT_0.852",0.00032207,-11.6,0.00025523,3.5931
"Aculeatusquinone C",30.185,4.9158,0.00025659,3.5908
"Benzyl(2R_3S)-2-methyl-3-hydroxybutanoate",72.235,6.1746,0.00025888,3.5869
"Ergonine",331.61,8.3733,0.00025945,3.5859
"N-(2,3,4-Trihydroxybutyl)-L-valine",0.008254,-6.9207,0.00029324,3.5328
"Mesitylethylene",36.099,5.1739,0.00029532,3.5297
"C7H16ClN2PS2",0.0085412,-6.8713,0.00031366,3.5035
"C14H30N9O2P",0.011538,-6.4375,0.00031443,3.5025
"2,6-di-tert-butyl-4-ethylphenol",241.63,7.9166,0.00031666,3.4994
"Dimethylpyruvic acid",1546.6,10.595,0.00032266,3.4913
"D-Methionine",0.0034838,-8.1651,0.00032266,3.4913
"C13H25N4O2PS",79.781,6.318,0.00032266,3.4913
"C13H23NOP2",418.16,8.7079,0.0003322,3.4786
"C6H14N6OP2S",159.26,7.3152,0.00035971,3.444
"1-Methoxy-dec-2-ene-4,6,8-triyne",0.00099519,-9.9727,0.00037506,3.4259
"Hexadecanedioicacid;Thapsicacid",114.02,6.8332,0.00037818,3.4223
"7_8-Didehydro-4_5-epoxy-3-methoxy-17-methoxy-(5_)-morphinan-6-one",46.181,5.5292,0.00038399,3.4157
"C11H18NPS",84.959,6.4087,0.00039051,3.4084
"Metanephrine",0.0028728,-8.4433,0.00039776,3.4004
"S-Isopropyl thiosenecioate",6.1031e-05,-14,0.00040098,3.3969
"(1S,2S,3R)-4-hydroxymethylcyclopent-4-ene-1,2,3-triol",0.00037921,-11.365,0.00040098,3.3969
"N-(2-Amino-2-oxoethyl)-N'-cyclododecylsuccinamide",0.00040385,-11.274,0.00040098,3.3969
"3-Butyn-1-al",1835.9,10.842,0.00040098,3.3969
"Alaremycin",907.51,9.8258,0.00040098,3.3969
"C12H29N4OP",0.0035524,-8.137,0.00040098,3.3969
"1,4-Cyclohexadiene",229.1,7.8398,0.00040098,3.3969
"C9H22N6O4P2S",0.0069054,-7.1781,0.00040098,3.3969
"C11H22N5O4P",82.779,6.3712,0.00040098,3.3969
"C8H12ClN3O6",0.0085481,-6.8702,0.00042617,3.3704
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",0.0025314,-8.6259,0.00042643,3.3702
"chavicol",0.0058026,-7.4291,0.00042677,3.3698
"C12H17N4O4P",0.051203,-4.2876,0.00042731,3.3693
"12-Aminolauric Acid",0.023447,-5.4145,0.00043372,3.3628
"Pyrindan",0.003655,-8.0959,0.00044247,3.3541
"Asenjonamide C",46.121,5.5274,0.00044247,3.3541
"N-acetyl-3-amino-3,6-dideoxy-d-galactose",0.0016243,-9.2659,0.00044511,3.3515
"4-(dimethylamino)-6-morpholino-1,3,5-triazine-2-carboxamide",64.452,6.0102,0.00045159,3.3453
"N-(2-Carbamoylphenyl)-3-(isobutyrylamino)benzamide",0.018419,-5.7627,0.00045619,3.3409
"N-(3-{[(Cyclohexylcarbonyl)amino]methyl}-3,5,5-trimethylcyclohexyl)cyclohexanecarboxamide",0.034139,-4.8724,0.00045619,3.3409
"(3S,6S,10aR)-Ethyl 6-((tert-butoxycarbonyl)amino)-5-oxo-1,2,3,5,6,7,10,10a-octahydropyrrolo[1,2-a]azocine-3-carboxylate",29.224,4.8691,0.00046194,3.3354
"Microansamycin D",26.016,4.7013,0.00046408,3.3334
"Cyclo-(Ile-Ser)",0.0007658,-10.351,0.00046638,3.3313
"C6H18ClN9O5",0.010313,-6.5994,0.00046638,3.3313
"Mollisinol A",25.312,4.6618,0.00046784,3.3299
"5-Amino-3-{(Z)-1-cyano-2-[4-(diethylamino)phenyl]vinyl}-1-(2-hydroxyethyl)-1H-pyrazole-4-carbonitrile",10.889,3.4448,0.00046784,3.3299
"2-((4-Chlorophenyl)sulfonyl)ethanethioamide",7.5259,2.9119,0.00046784,3.3299
"Sclerotigenin",5.1963,2.3775,0.00047986,3.3189
"(R)-Pantolactone",0.0095144,-6.7157,0.00050248,3.2989
"Hexadeca-5,9-dienoic acid",4.8703,2.284,0.00050515,3.2966
"mz_112.89546_&_RT_0.73",3201.2,11.644,0.00051463,3.2885
"Inosine",0.0035558,-8.1356,0.00051463,3.2885
"C21H34N9OP",0.0077191,-7.0173,0.00051463,3.2885
"VV6750000",1273.5,10.315,0.00053657,3.2704
"Agistatin E",162.03,7.3401,0.00053657,3.2704
"C39H50N4O3P2",128.2,7.0023,0.00053657,3.2704
"mz_186.82793_&_RT_0.793",0.0067143,-7.2186,0.0005449,3.2637
"(+)-ethyl homononactate",78.693,6.2982,0.0005449,3.2637
"mz_320.71596_&_RT_0.792",0.018391,-5.7649,0.00055553,3.2553
"Prolylleucine",374.96,8.5506,0.00058263,3.2346
"Coniferylaldehyde",0.014128,-6.1453,0.00058263,3.2346
"(6Z)-Octadecenoicacid",507.63,8.9876,0.00062872,3.2015
"C4H11N8O6P",0.0021341,-8.8722,0.00062872,3.2015
"C12H29OP3",59.29,5.8897,0.00062872,3.2015
"mz_196.85673_&_RT_0.725",14.272,3.8351,0.00062872,3.2015
"5-Hydroxyconiferylalcohol",0.013832,-6.1759,0.00062993,3.2007
"(5E)-7-{4-Hydroxy-2-[(1E)-3-hydroxy-1-octen-1-yl]-6-oxotetrahydro-2H-pyran-3-yl}-5-heptenoic acid",53.617,5.7446,0.00062993,3.2007
"mz_122.92424_&_RT_0.722",732.15,9.516,0.00063069,3.2002
"1-Palmitoylglycerophosphocholine",128.38,7.0043,0.00063069,3.2002
"CYCLOHEXYLPHENYLACETONITRILE",0.0090225,-6.7923,0.00063069,3.2002
"mz_468.58073_&_RT_0.73",13.022,3.7029,0.00063069,3.2002
"(2Z)-2-Benzylidene-5,7-dimethyl-3,4-dihydro-1(2H)-naphthalenone",0.042798,-4.5463,0.00064494,3.1905
"N-[(1-Methyl-1H-pyrrol-2-yl)methyl]-2-[1-(1H-tetrazol-1-ylmethyl)cyclohexyl]acetamide",239.27,7.9025,0.000648,3.1884
"Cephalosporolide J",0.0042031,-7.8943,0.000648,3.1884
"ETHYL 4-METHOXYCARBONYL-1-PIPERIDINEACETATE",106.96,6.7409,0.000648,3.1884
"2-Pyrazinyl[3-(2H-1,2,3-triazol-2-yl)-1-pyrrolidinyl]methanone",0.010196,-6.6158,0.000648,3.1884
"11-(4-Hydroxybutoxy)undecanehydrazide",70.329,6.1361,0.000648,3.1884
"[FAhydroxy(20:3)]11_12-dihydroxy-5Z_8Z_14Z-eicosatrienoicacid",53.631,5.745,0.000648,3.1884
"N-lauroylglycine",36.86,5.204,0.000648,3.1884
"Sulphureuine G",20.776,4.3768,0.000648,3.1884
"Galangin",11.236,3.49,0.000648,3.1884
"Sulcatone",5.8951,2.5595,0.000648,3.1884
"2'-Deoxyinosine",4.3995,2.1374,0.000648,3.1884
"[1-Methyl-2-({2-[(2-methyl-2-propanyl)sulfanyl]ethyl}sulfanyl)-1H-imidazol-5-yl]methanol",134.67,7.0733,0.00065709,3.1824
"C8H21OP3S",124.14,6.9558,0.00065709,3.1824
"8-(4'-O-methyl-α-rhamnopyranosyloxy)-2-methyquinoline",0.011529,-6.4386,0.00065831,3.1816
"Cyclo-(L-Tyrosyl-cis-4-hydroxy-D-proline",0.024673,-5.3409,0.00065831,3.1816
"memantine",28.621,4.839,0.00065831,3.1816
"3-Methylbutanoicacid",377.61,8.5608,0.00067667,3.1696
"(+)-Flavipucine",0.0022248,-8.8121,0.00067768,3.169
"4-O-methylmelleolide",0.23891,-2.0655,0.00067768,3.169
"(R)-2_3-Dihydroxy-3-methylbutanoate",1949.7,10.929,0.00068292,3.1656
"2,9-UNDECADIYNE",0.0096794,-6.6909,0.00068292,3.1656
"1_4-Dihydroxy-2-naphthoate",56.721,5.8258,0.00068833,3.1622
"MFCD00054545",29.947,4.9044,0.00068833,3.1622
"C5H16N2O6P2",0.0069829,-7.162,0.0007035,3.1527
"Asterogynin A",26.002,4.7005,0.0007035,3.1527
"Malyngolide",6.9233,2.7915,0.0007035,3.1527
"C2H5ClN2O14P2S",0.1563,-2.6776,0.0007035,3.1527
"C15H21N8O2P",0.022313,-5.486,0.00071519,3.1456
"C11H22O8",207.24,7.6951,0.00072804,3.1378
"C21H53N10O11PS",0.028432,-5.1363,0.00072927,3.1371
"Dodecanedioicacid",18.835,4.2354,0.00074425,3.1283
"C14H27O2PS",0.0047025,-7.7324,0.00074591,3.1273
"Coryoctalactone D",103.03,6.6869,0.00076251,3.1178
"(2S,3R,4S,5S,6R)-2-[4-hydroxy-2-(3-methylbut-2-en-1-yl)phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",0.0098825,-6.6609,0.00076609,3.1157
"(R)-Prunasin",63.834,5.9963,0.00076609,3.1157
"2-(beta-D-Glucosyl)-sn-glycerol",394.4,8.6235,0.00077025,3.1134
"C30H52NP3",1171.1,10.194,0.00079451,3.0999
"Streptoaminal‐9n",62.985,5.9769,0.00079496,3.0997
"1,3,5-Norcaratriene",529.09,9.0474,0.00082774,3.0821
"mz_186.82791_&_RT_0.731",152.1,7.2489,0.00082774,3.0821
"C4H5NO13P2",0.054112,-4.2079,0.00083089,3.0805
"Xamoterol [USAN:BAN:INN]",0.015278,-6.0324,0.00083831,3.0766
"mz_55.01814_&_RT_3.526",235.56,7.88,0.00083925,3.0761
"(1S,2R,8aS)-1,2-Dihydroxyindolizidine",0.0034028,-8.199,0.00084991,3.0706
"mz_206.88552_&_RT_0.721",114.17,6.835,0.00084991,3.0706
"C9H6",84.629,6.4031,0.00084991,3.0706
"6′-methyl-[1,1′-biphenyl]-3,3′,4′,5-tetraol",198.54,7.6333,0.00085524,3.0679
"mz_262.7575_&_RT_0.73",123.87,6.9527,0.00085524,3.0679
"2-Cyclododecyl-1-(4-morpholinyl)ethanone",123.38,6.947,0.00085524,3.0679
"2-isopentylquinoline-4-one",44.307,5.4694,0.00085524,3.0679
"C16H32N2O7S",36.598,5.1937,0.00089413,3.0486
"C19H47N7S2",12.211,3.6101,0.00090569,3.043
"mz_113.03412_&_RT_0.893",11161,13.446,0.0009189,3.0367
"Trans-7,9-dihydroxy-3-methyl-8-oxo-dodecan-4-olide",35.017,5.13,0.0009189,3.0367
"C13H25OPS",29.901,4.9021,0.0009189,3.0367
"Verrucine B",142.41,7.1539,0.00096974,3.0133
"1-(4-{4-Methyl-5-[(4-methyl-1-piperazinyl)methyl]-4H-1,2,4-triazol-3-yl}-1-piperidinyl)ethanone",156.23,7.2875,0.0010287,2.9877
"NP-001596",193.87,7.599,0.0010319,2.9864
"2_5_6-Trihydroxy-5_6-dihydroquinoline",80.465,6.3303,0.0010462,2.9804
"Capsidiol",40.443,5.3378,0.0010556,2.9765
"hercynine",0.015986,-5.967,0.0010673,2.9717
"mz_107.06991_&_RT_0.895",177.57,7.4723,0.0010842,2.9649
"N-(2-methyl-3-oxodecanoyl)pyrrolidine",29.406,4.878,0.0010925,2.9616
"C7H21N4O4P",47.137,5.5588,0.0010985,2.9592
"5,7-Dihydroxy-6,8-bis[(4-methyl-1-piperazinyl)methyl]-2-phenyl-4H-chromen-4-one",26.84,4.7463,0.0010999,2.9586
"C23H45N6O7P",40.844,5.3521,0.0011679,2.9326
"mz_280.81778_&_RT_0.724",63.104,5.9797,0.0011713,2.9313
"2-Methyl-2-propanyl 4-(3-amino-1H-1,2,4-triazol-5-yl)-1-piperazinecarboxylate",50.531,5.6591,0.0011713,2.9313
"2,3,5-Trimethylfuran",138.88,7.1177,0.0011865,2.9257
"MFCD00134195",4.0846,2.0302,0.0011975,2.9217
"3-Hydroxypropenoate",205.8,7.6851,0.0012034,2.9196
"1-(4-Amino-1,2,5-oxadiazol-3-yl)-5-{[cyclohexyl(methyl)amino]methyl}-N'-[(E)-4-pyridinylmethylene]-1H-1,2,3-triazole-4-carbohydrazide",0.015788,-5.985,0.0012034,2.9196
"C9H24N6O5S",34.544,5.1104,0.0012034,2.9196
"(+)-(R,2E,4Z)-7-(4'-(dimethylamino)phenyl)-4,6-dimethyl-7-oxohepta-2,4-dienoic acid",650.35,9.3451,0.0012194,2.9138
"Diroxamel fumarate",105.12,6.7158,0.0012194,2.9138
"MFCD00134159",0.012276,-6.3481,0.001228,2.9108
"1-Boc-4-Vinylpiperidine",171.32,7.4206,0.0012358,2.9081
"mz_190.00051_&_RT_17.443",0.0041345,-7.9181,0.0012365,2.9078
"TRIETHYLENEGLYCOLDIACETATE",0.0047721,-7.7111,0.001239,2.9069
"5-Chloro-2-[2-(1-piperidinylmethyl)-1-pyrrolidinyl]pyrimidine",0.058995,-4.0833,0.0012437,2.9053
"Simplicilliumtide E",221.09,7.7885,0.0012681,2.8968
"mz_254.81511_&_RT_0.788",0.033232,-4.9113,0.0012681,2.8968
"NP-015145",24.855,4.6355,0.0013109,2.8824
"C11H25O4P3",90.976,6.5074,0.001368,2.8639
"Decylbenzene",54.011,5.7552,0.001399,2.8542
"C12H20N7O2P",206.65,7.691,0.0014053,2.8522
"Feigrisolide B",58.094,5.8603,0.001427,2.8456
"MR-387-A",14.282,3.8362,0.0014421,2.841
"Lumiquinone A",28.981,4.8571,0.0014564,2.8367
"mz_394.64834_&_RT_0.73",19.324,4.2723,0.0014564,2.8367
"2-Methylhippuricacid",0.0096833,-6.6903,0.0014902,2.8268
"F-11334-A1",165.73,7.3727,0.0015053,2.8224
"Icaridin",158.65,7.3097,0.0015053,2.8224
"(3E,5E,8Z)-1,3,5,8-Undecatetraene",84.197,6.3957,0.0015053,2.8224
"4'-ethyl-1,1'-bi(cyclohexyl)-4-one",151.11,7.2394,0.0015462,2.8107
"octylphenol",60.745,5.9247,0.0015578,2.8075
"mz_262.75756_&_RT_0.793",0.0082539,-6.9207,0.0016262,2.7888
"5-Methyl-N,N'-bis[1-([1,2,4]triazolo[4,3-a]pyridin-3-yl)ethyl]-2,4-pyrimidinediamine",74.962,6.2281,0.0016673,2.778
"2-Oxovalericacid",46.361,5.5348,0.0016964,2.7705
"mz_336.68977_&_RT_0.73",88.603,6.4693,0.0017015,2.7692
"Aurantiomide C",476.92,8.8976,0.0017088,2.7673
"mz_410.62219_&_RT_0.73",28.501,4.8329,0.0017239,2.7635
"3,11-dihydroxy-6,8-dimethyldodecanoic acid",150.09,7.2297,0.0017809,2.7494
"C13H20OP2",0.0022392,-8.8028,0.0017903,2.7471
"2-Methylnaphthalene",0.013223,-6.2408,0.0017903,2.7471
"Trans-9-hydroxy-3-methyl-8-oxo-dodec-trans-6-en-4-olide",45.415,5.5051,0.001805,2.7435
"Botryosphaerilactone A",18.563,4.2144,0.0018231,2.7392
"Citrinin",122.23,6.9334,0.0018809,2.7256
"(R)-Coclaurine",6786.1,12.728,0.0019152,2.7178
"Xenocyloin E",36.926,5.2066,0.0020093,2.697
"[FAoxo_amino(6:0)]3-oxo-5S-amino-hexanoicacid",0.0011935,-9.7106,0.0020413,2.6901
"Solanapyrone L",325.21,8.3452,0.0020513,2.688
"Asenjonamide B",83.263,6.3796,0.0020513,2.688
"2-Methyl-2-propanyl 1,4,10-trioxa-7,13-diazacyclopentadecane-7-carboxylate",0.0019061,-9.0351,0.0020982,2.6782
"(2R,9R)-(+)-microdiplodiasone",4.2771,2.0966,0.0021444,2.6687
"{3-[(E)-2-(1,3-Benzodioxol-5-yl)vinyl]-2-oxiranyl}(1-piperidinyl)methanone",0.030141,-5.0521,0.0021502,2.6675
"Aurantiomide B",121.59,6.9259,0.0021704,2.6635
"BOC-L-DPA(BOC)-OH",0.0048243,-7.6955,0.0022377,2.6502
"N-sec-Butyl-N'-ethyl-6-[(isopropylideneamino)oxy]-1,3,5-triazine-2,4-diamine",34.468,5.1072,0.0023644,2.6263
"Safracin A",219.02,7.775,0.0023667,2.6259
"Dendryphiellic acid A",1465.2,10.517,0.0023754,2.6243
"Trilostane",46.768,5.5474,0.0023754,2.6243
"Ilanefuranone",0.0069532,-7.1681,0.0023859,2.6223
"C28H40",0.0090468,-6.7884,0.0024598,2.6091
"Gymnasterone B",0.091675,-3.4473,0.0025325,2.5964
"Cyclo(6,7-en-Pro-L-Phe)",38.011,5.2484,0.0025858,2.5874
"mz_304.74209_&_RT_0.73",7.4884,2.9047,0.0026023,2.5846
"2-(morpholinomethyl)-4-(2-phenyldiaz-1-enyl)phenol",4.1703,2.0601,0.0026194,2.5818
"mz_122.92428_&_RT_0.785",0.0013925,-9.4881,0.002763,2.5586
"(4S)-4_6-Dihydroxy-2_5-dioxohexanoate",378.29,8.5633,0.002763,2.5586
"mz_184.1075_&_RT_0.894",223.48,7.804,0.0027789,2.5561
"BNC210",0.017556,-5.8319,0.0027969,2.5533
"Peniamidienone",326.41,8.3505,0.0029248,2.5339
"Uracil;2_4-Dihydroxypyrimidine",0.090253,-3.4699,0.003018,2.5203
"N,N,N',N'-Tetrakis(2-methoxyethyl)malonamide",0.082548,-3.5986,0.0030365,2.5176
"2-Methyl-2-propanyl [(1-{[ethyl(methyl)sulfamoyl]amino}-3-methyl-2-butanyl)oxy]carbamate",56.66,5.8243,0.0030473,2.5161
"Eudesm-4(15)",23.783,4.5719,0.0030931,2.5096
"mz_170.85399_&_RT_0.796",0.018627,-5.7465,0.0031047,2.508
"C16H35N8OP",20.958,4.3894,0.0031433,2.5026
"mz_196.85674_&_RT_0.788",0.077038,-3.6983,0.0031666,2.4994
"Pseudouridine",0.11144,-3.1656,0.0032074,2.4939
"Catechol;1_2-Dihydroxybenzene",411.89,8.6861,0.0032583,2.487
"Ergosta-5_7_22_24(28)-tetraen-3beta-ol",0.0056738,-7.4615,0.00326,2.4868
"mz_153.10166_&_RT_0.893",201.54,7.6549,0.0032835,2.4837
"C6H9N4O2P",92.682,6.5342,0.0033987,2.4687
"C7HCl3S5",22.047,4.4625,0.0033987,2.4687
"α-Linolenic acid",0.0013872,-9.4936,0.0034412,2.4633
"C12H14N10",203.43,7.6684,0.0034412,2.4633
"C12H25N4P",0.059116,-4.0803,0.0034686,2.4598
"mz_336.6898_&_RT_0.793",0.012143,-6.3637,0.0035324,2.4519
"Penipacid B",140.21,7.1314,0.0035801,2.4461
"N-[3-(Diethylamino)propyl]-2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)acetamide",151.79,7.246,0.0036224,2.441
"LysoPC(18:3(9Z,12Z,15Z))",327.38,8.3548,0.0036876,2.4333
"Radianspene L",24.336,4.605,0.0037617,2.4246
"Propafenone",73.11,6.192,0.004049,2.3927
"allopurinol",0.071504,-3.8058,0.00416,2.3809
"(R)-Norcoclaurine",276.88,8.1131,0.004241,2.3725
"Penicitide A",0.0024252,-8.6877,0.0043548,2.361
"1-[(3aR,6R,7aS)-6-(Cyclopropylmethoxy)-3a-methoxyoctahydro-1H-indol-1-yl]-2-phenylethanone",235.49,7.8795,0.0043548,2.361
"mz_410.62225_&_RT_0.793",0.038045,-4.7161,0.0043548,2.361
"C21H44N5O8P",0.017715,-5.8189,0.0043732,2.3592
"3-Methoxy-4-hydroxyphenylethyleneglycol",0.0052439,-7.5751,0.0043782,2.3587
"γ-L-glutamyl-L-leucine",0.00175,-9.1584,0.004428,2.3538
"5-Guanidino-2-oxopentanoate",586.11,9.195,0.0044875,2.348
"UW7525000",0.0021183,-8.8829,0.0045808,2.3391
"Piperidione",67.375,6.0741,0.0045808,2.3391
"1,4,8,11-Tetraazacyclotetradecan-1-ylphosphonic acid",26.129,4.7076,0.0046685,2.3308
"1,5-Pentanedithiol",19578,14.257,0.0046693,2.3307
"5-hydroxy-2-(2-hydroxypropyl)naphthalene-1,4-dione",0.014752,-6.0829,0.0047469,2.3236
"mz_162.07559_&_RT_0.891",333.84,8.383,0.0047651,2.3219
"mz_264.84391_&_RT_0.786",0.015754,-5.9882,0.0048675,2.3127
"mz_206.10155_&_RT_0.894",79.763,6.3177,0.0049669,2.3039
"SMTP-33",0.0035053,-8.1563,0.0050007,2.301
"2_6-Diaminoheptanedioicacid",0.001415,-9.465,0.0050172,2.2995
"Ananstrep B",0.011408,-6.4538,0.0050172,2.2995
"N-formylloline",0.0025085,-8.639,0.0050226,2.2991
"C2H7BrClOP3S3",0.065878,-3.9241,0.005147,2.2884
"Gloeophyllol B",38.584,5.2699,0.0054348,2.2648
"Phevalin",0.0060156,-7.3771,0.0054588,2.2629
"Neolymphostinol C",4.2235,2.0784,0.0054592,2.2629
"Germine",0.0086681,-6.8501,0.0056279,2.2497
"MFCD00001109",120.72,6.9155,0.005693,2.2447
"D-Proline",6.406e-05,-13.93,0.0058801,2.2306
"C12H29N4O2P",478.27,8.9017,0.0059486,2.2256
"L-Kynurenine",112.1,6.8086,0.0059635,2.2245
"N-[(trans-4-{[(1-{[(2-Methyl-2-propanyl)oxy]carbonyl}-L-prolyl)amino]methyl}cyclohexyl)carbonyl]-L-valine",56.104,5.81,0.0059635,2.2245
"2R-amino-4S-hydroxy-5-hexynoic acid",0.0014581,-9.4217,0.005989,2.2226
"Cephalosporolide H",281.04,8.1346,0.005989,2.2226
"C10H25N4P",52.708,5.72,0.0060346,2.2194
"mz_206.88557_&_RT_0.783",0.0094428,-6.7266,0.0060411,2.2189
"1_2-Dihydrosantonin",48.279,5.5933,0.00628,2.202
"C21H42N6O3S",0.037981,-4.7186,0.00628,2.202
"2,3-dihydropyrenophorolic acid",0.0034887,-8.1631,0.006649,2.1772
"C16H34N2O2S2",52.215,5.7064,0.006649,2.1772
"3''-hydroxy-geranylhydroquinone",15.358,3.9409,0.0073347,2.1346
"Ethyl3-oxohexanoate",0.0014707,-9.4093,0.0074265,2.1292
"2-Methylserine",0.0016705,-9.2255,0.0074385,2.1285
"BOC-ORN(BOC)-OH",0.0055906,-7.4828,0.0074989,2.125
"C5H14N5O5P",0.006908,-7.1775,0.0074989,2.125
"C16H33N4O7P",22.705,4.505,0.0076067,2.1188
"1,3-BIS(METHYLTHIO)-2-PROPANOL",1907.3,10.897,0.0079991,2.097
"C12H21N4PS",0.012258,-6.3501,0.0079991,2.097
"N-Acetyl-beta-D-galactosamine",0.014606,-6.0973,0.0081758,2.0875
"Methyl 1-(dimethylsulfamoyl)-4-piperidinecarboxylate",0.009766,-6.678,0.0082517,2.0835
"C14H13N4O5P",135.95,7.0869,0.0084841,2.0714
"Lentzeoside C",111.02,6.7947,0.0086352,2.0637
