"","FC","log2(FC)","p.ajusted","-log10(p)"
"C5H11ClN8O5",86.561,6.4356,0.00022096,3.6557
"5-(2-Azepanyl)quinoline",44.154,5.4645,0.00022096,3.6557
"Cinnamaldehyde",188.95,7.5619,0.0002254,3.6471
"Alkyldihydropyrone B",97.401,6.6059,0.0002254,3.6471
"alpha-Curcumene",0.026375,-5.2447,0.0002254,3.6471
"C8H23N4OP",36.237,5.1794,0.00022666,3.6446
"N-(5-Methyl-1,2-oxazol-3-yl)-4-[(phenylcarbamoyl)amino]benzenesulfonamide",4.3046,2.1059,0.00023148,3.6355
"4-Oxohex-1,6-diyl diacetate",853.73,9.7376,0.0002332,3.6323
"[1-(Methylsulfonyl)-4-piperidinyl](1-pyrrolidinyl)methanone",344.54,8.4285,0.0002332,3.6323
"C11H17O2PS",533.92,9.0605,0.00023458,3.6297
"N,N,N',N'-Tetrakis(2-methoxyethyl)malonamide",822.95,9.6847,0.00024017,3.6195
"Deanol",0.0070192,-7.1545,0.00024017,3.6195
"C18H30NOPS",0.058978,-4.0837,0.00024017,3.6195
"Solanapyrone K",7.6977,2.9444,0.00024177,3.6166
"2-Methyl-2-propanyl 4-[(4-{[3-(dimethylamino)-2,2-dimethylpropyl]carbamoyl}-1-piperidinyl)carbonyl]-1-piperidinecarboxylate",346.98,8.4387,0.0002479,3.6057
"mz_185.10163_&_RT_0.815",0.00057588,-10.762,0.0002535,3.596
"18S-hydroxyneodihydroprotolichesterinic acid",140.91,7.1386,0.0002535,3.596
"Succinic anhydride",0.0019902,-8.9729,0.00026637,3.5745
"Pseudouridine",0.14668,-2.7693,0.00026658,3.5742
"C10H27N4P",71.561,6.1611,0.00028098,3.5513
"1-(1H-1,2,4-Triazol-1-yl)-2-propanamine",0.02413,-5.373,0.00028145,3.5506
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone",0.0069709,-7.1644,0.00028149,3.5505
"MFCD01320532",0.035936,-4.7984,0.00028149,3.5505
"Indane",0.0027257,-8.5191,0.00032879,3.4831
"5-Cyclopropyl-1-[3-(trifluoromethyl)phenyl]-1H-1,2,3-triazole-4-carboxylic acid",233.88,7.8696,0.00032879,3.4831
"1-Phenylheptane-1,5-dione",0.053209,-4.2322,0.00033303,3.4775
"{3-[(E)-2-(1,3-Benzodioxol-5-yl)vinyl]-2-oxiranyl}(1-piperidinyl)methanone",0.04382,-4.5123,0.00034525,3.4619
"PF06273340",241.06,7.9132,0.00037474,3.4263
"Propafenone",0.013228,-6.2403,0.00040023,3.3977
"C17H37P3",0.018353,-5.7678,0.00040023,3.3977
"N-Methyl-p-toluenesulfonamide",52.576,5.7163,0.00040023,3.3977
"(3S*,4S*)-3,4-dihydroxy-7-methyl-3,4-dihydro-1(2H)-naphthalenone",0.067357,-3.892,0.00040023,3.3977
"C12H29N4OP",75.379,6.2361,0.00040521,3.3923
"Trans-9-hydroxy-3-methyl-8-oxo-dodec-trans-6-en-4-olide",0.029669,-5.0749,0.00041097,3.3862
"(S)-N-tetradecanoyl-HSL",47.247,5.5621,0.00042997,3.3666
"1-Phenylhept-3-en-4-one",270.68,8.0804,0.00045388,3.3431
"C28H52NP3",0.018822,-5.7315,0.00046874,3.3291
"Tetrahydrothiophene",329.1,8.3624,0.00051601,3.2873
"(3R,4S)-4-(Carbamoylamino)tetrahydro-3-thiophenyl acetate",227.31,7.8285,0.00051714,3.2864
"mz_170.85401_&_RT_0.755",0.020658,-5.5972,0.00051714,3.2864
"C18H32N2P2S",0.053613,-4.2213,0.00051714,3.2864
"mz_170.85396_&_RT_0.892",61.78,5.9491,0.00052032,3.2837
"C6H10N10O2",182.53,7.512,0.00052086,3.2833
"mz_112.89545_&_RT_0.89",2288.6,11.16,0.000534,3.2725
"mz_185.10165_&_RT_0.95",2286.9,11.159,0.00056057,3.2514
"5-Ethyl-1H-pyrazole-3,4-diamine",133.77,7.0636,0.00056057,3.2514
"Gabaculine",86.604,6.4364,0.00056057,3.2514
"C18H43N6OP",26.707,4.7391,0.00057403,3.2411
"Civetone",0.041169,-4.6023,0.00057403,3.2411
"Streptoaminal‐9n",0.044085,-4.5036,0.00057403,3.2411
"Cephalosporolide J",0.0077915,-7.0039,0.00058055,3.2362
"(R)-Coclaurine",0.00010661,-13.195,0.00060716,3.2167
"mz_186.82788_&_RT_0.891",87.396,6.4495,0.00060716,3.2167
"2-isopentylquinoline-4-one",0.028281,-5.144,0.00060716,3.2167
"mz_188.12752_&_RT_1.047",37.684,5.2359,0.0006388,3.1946
"Coniferylalcohol",0.013994,-6.159,0.00064507,3.1904
"2(alpha-D-Mannosyl)-D-glycerate",60.012,5.9072,0.00065414,3.1843
"3-Methylbutyl 3,4-dinitro-1H-pyrazole-5-carboxylate",0.0083666,-6.9012,0.00065558,3.1834
"(Z)-N-16-hydroxyhexadec-9-enoyl-L-alanine methyl ester",0.19349,-2.3697,0.00065558,3.1834
"1_8-Diazacyclotetradecane-2_9-dione",0.00076991,-10.343,0.00066021,3.1803
"2,4,6-Trimethyl-1,3,5-benzenetriamine",278.75,8.1228,0.0006692,3.1744
"C12H31N4O2P",208.95,7.707,0.0006692,3.1744
"1-(2-Fluorophenyl)-3-(5-quinolinyl)thiourea",0.0074078,-7.0767,0.0006692,3.1744
"C9H6",0.0093215,-6.7452,0.0006692,3.1744
"Trilostane",0.11417,-3.1307,0.0006692,3.1744
"6-Acetamido-3-aminohexanoate",0.0022416,-8.8013,0.0006927,3.1595
"Capsidiol",167.34,7.3867,0.0006927,3.1595
"Cephalosporolide H",0.018715,-5.7396,0.0006927,3.1595
"mz_336.68972_&_RT_0.891",40.762,5.3491,0.0006927,3.1595
"Gymnamide",0.024626,-5.3436,0.0006927,3.1595
"Neuraminicacid",1953.4,10.932,0.00069634,3.1572
"3-(3_4-Dihydroxypyridin-1-yl)-L-alanine",0.0072435,-7.1091,0.00069634,3.1572
"MFCD00134159",0.0073202,-7.0939,0.00069634,3.1572
"1-[(Z)-{[(2E)-2-(Hydroxyimino)propyl]oxy}-NNO-azoxy]-2-propanol",0.0073886,-7.0805,0.00069634,3.1572
"Sulcatone",0.0086433,-6.8542,0.00069634,3.1572
"C4H14N6O13",67.345,6.0735,0.00069634,3.1572
"mz_262.75751_&_RT_0.891",66.106,6.0467,0.00069634,3.1572
"[STtrihydrox]3alpha_11beta_21-5alpha-trihydroxy-pregnane-20-one",37.076,5.2124,0.00069634,3.1572
"C14H26N5O2P",0.029311,-5.0924,0.00069634,3.1572
"C11H29N4OP",0.040989,-4.6086,0.00069634,3.1572
"Alnustone",20.176,4.3346,0.00069634,3.1572
"Adenosine",0.00059089,-10.725,0.00069709,3.1567
"2-{1-[(TERT-BUTOXY)CARBONYL]AZETIDIN-3-YL}PROPANEDIOIC ACID",0.011528,-6.4387,0.00071869,3.1435
"Benzyl(2R_3S)-2-methyl-3-hydroxybutanoate",0.024201,-5.3688,0.00071869,3.1435
"C29H35N10OP",0.040606,-4.6222,0.00072827,3.1377
"Neovasipyridone D",0.053782,-4.2167,0.0007937,3.1003
"Cyclo-(Ile-Ser)",0.00089721,-10.122,0.00082301,3.0846
"C12H31N4OP",106.72,6.7377,0.00082301,3.0846
"7-amino-4-oxo-3-(propan-2-yl)-1H,4H-pyrazolo[3,2-c][1,2,4]triazine-8-carbonitrile",0.011691,-6.4185,0.00082301,3.0846
"(-)-monascumic acid",0.024914,-5.3269,0.00083824,3.0766
"C6H9NP2S",0.0081968,-6.9307,0.00085417,3.0685
"Ethyl 8-[4-(2,5-dihydro-1H-pyrrol-1-ylmethyl)phenyl]-8-oxooctanoate",0.0036409,-8.1015,0.00086358,3.0637
"1-BOC-Piperazine",0.0098466,-6.6662,0.00089385,3.0487
"C7H21ClN4O6P2",0.025673,-5.2836,0.0009038,3.0439
"Macquarimicin C",0.046664,-4.4215,0.00091098,3.0405
"Peniamidienone",0.0032258,-8.2761,0.00091594,3.0381
"C24H32S",76.783,6.2627,0.00091594,3.0381
"Hexadecanedioic acid",68.417,6.0963,0.00091594,3.0381
"3-Methyl-1-(2_4_6-trihydroxyphenyl)butan-1-one",0.052999,-4.2379,0.00091594,3.0381
"C14H28N5O2P",0.016984,-5.8797,0.00093107,3.031
"(+)-(R,2E,4Z)-7-(4'-(dimethylamino)phenyl)-4,6-dimethyl-7-oxohepta-2,4-dienoic acid",0.0018072,-9.112,0.00093636,3.0286
"Thiomorpholine3-carboxylate",366.37,8.5171,0.00093636,3.0286
"C12H23P3",0.0049432,-7.6603,0.00093636,3.0286
"Trichodin A",0.016614,-5.9115,0.00093636,3.0286
"1-Methoxy-dec-2-ene-4,6,8-triyne",0.0019915,-8.9719,0.00097778,3.0098
"3-hydroxy-1H-quinolin-4-one",0.0086564,-6.852,0.00097778,3.0098
"Irlactin F",0.012707,-6.2982,0.00097778,3.0098
"Xenocyloin E",0.036181,-4.7886,0.00097778,3.0098
"C10H20N5O2P",0.076816,-3.7024,0.00097778,3.0098
"Propenzolate",0.05096,-4.2945,0.0010041,2.9982
"C11H15N4O3P",44.786,5.485,0.0010117,2.9949
"2-(beta-D-Glucosyl)-sn-glycerol",0.0082618,-6.9193,0.0010269,2.9885
"Uracil;2_4-Dihydroxypyrimidine",0.086308,-3.5344,0.0010496,2.979
"Solanapyrone L",0.0029809,-8.39,0.0010602,2.9746
"Ala-Pro(Alanyl-Proline)",0.019157,-5.706,0.0010602,2.9746
"(4R,6R)-t-Butyl-6-(2-aminoethyl)-2,2-dimethyl-1,3-dioxane-4-acetate",0.028541,-5.1308,0.0011043,2.9569
"BOC-ORN(BOC)-OH",288.18,8.1708,0.001133,2.9458
"1,2-Divinylbenzene",0.0036151,-8.1118,0.001133,2.9458
"Staphyloamide B",0.0071221,-7.1335,0.001133,2.9458
"C5H13N5OS2",0.016785,-5.8967,0.001133,2.9458
"Eudesm-4(15)",0.031201,-5.0023,0.001133,2.9458
"(1RS,6SR,10SR)-6,10-dimethylbicyclo[4.4.0]decan-3-one",113.27,6.8237,0.0012041,2.9193
"mz_304.74202_&_RT_0.753",0.047091,-4.4084,0.0012145,2.9156
"[FA(20:3)]11_12-epoxy-5Z_8Z_14Z-eicosatrienoicacid",0.021529,-5.5376,0.0012586,2.9001
"N,N'-1,2-Ethanediylbis{2-[(1-methyl-1H-tetrazol-5-yl)sulfanyl]acetamide}",0.0068581,-7.188,0.001279,2.8931
"mz_243.18279_&_RT_0.915",84.459,6.4002,0.001279,2.8931
"MFCD03462230",0.028197,-5.1483,0.001279,2.8931
"3-(2’-acetoxy-3’- oxo-4’-methylpentyl)-indole",0.035465,-4.8175,0.001279,2.8931
"mz_378.67445_&_RT_0.753",0.10248,-3.2866,0.001279,2.8931
"Methyl 1-thio-D-glucopyranosiduronic acid",0.0061192,-7.3525,0.0012792,2.8931
"N-[3-(Diethylamino)propyl]-2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)acetamide",286.94,8.1646,0.001293,2.8884
"mz_212.14886_&_RT_0.89",0.0083562,-6.9029,0.001293,2.8884
"1-Palmitoylglycerophosphocholine",102.04,6.6729,0.001293,2.8884
"3-deoxyaureosurfactin",68.505,6.0981,0.001293,2.8884
"mz_264.84387_&_RT_0.884",58.097,5.8604,0.001293,2.8884
"mz_320.71587_&_RT_0.891",53.907,5.7524,0.001293,2.8884
"mz_112.8955_&_RT_0.753",0.00052871,-10.885,0.0013269,2.8772
"Isocyanocyclohexane",244.28,7.9324,0.0013794,2.8603
"C12H25N4P",4.2369,2.083,0.001387,2.8579
"Thebaine",0.0020157,-8.9545,0.0013947,2.8555
"LAURIMINODIPROPIONIC ACID",0.0063984,-7.2881,0.0013947,2.8555
"3-Dehydrocarnitine",137.18,7.0999,0.0013947,2.8555
"mz_122.92424_&_RT_0.883",369.44,8.5292,0.0014303,2.8446
"C33H61NO2P2",0.062408,-4.0021,0.0014324,2.8439
"Photopyrone G",5.6036,2.4864,0.0014691,2.8329
"Etrogol",0.0074384,-7.0708,0.001547,2.8105
"C10H21P3",571.05,9.1575,0.001558,2.8074
"2-Methyl-2-propanyl 1,4,10-trioxa-7,13-diazacyclopentadecane-7-carboxylate",255.91,7.9995,0.0015607,2.8067
"mz_190.00044_&_RT_17.544",121.76,6.9279,0.0015607,2.8067
"Benzylamine",4.6511,2.2176,0.0015705,2.804
"[FAoxo_amino(6:0)]3-oxo-5S-amino-hexanoicacid",0.0018412,-9.0851,0.0015773,2.8021
"mz_186.82794_&_RT_0.754",0.014296,-6.1282,0.0015856,2.7998
"2-Isopropylnaphthalene",60.697,5.9236,0.0015908,2.7984
"1,1,6-Trimethyl-1,2-dihydronaphthalene",50.944,5.6708,0.0016031,2.795
"2-(2,3-Dihydro-1-benzofuran-5-yl)ethanesulfonamide",416.54,8.7023,0.0016189,2.7908
"PALGLY",0.034821,-4.8439,0.0016431,2.7843
"1-(2-Naphthyl)ethanol",55.531,5.7952,0.0016439,2.7841
"13-hydroxy dechlorofontonamide",0.0494,-4.3394,0.0016457,2.7837
"1-Morpholinocyclododecene",0.0484,-4.3688,0.0017653,2.7532
"Cadina-1(10),6,8-triene",0.027038,-5.2089,0.0017735,2.7512
"N-[1-(4,5-Dimethyl-2-oxido-1,3,2-dioxaphospholan-2-yl)cyclohexyl]-4H-1,2,4-triazol-4-amine",210.62,7.7185,0.0017984,2.7451
"C8H22ClN9O5",0.0123,-6.3452,0.0017984,2.7451
"2-(Phenylsulfanyl)cyclohexanone",47.861,5.5808,0.0017984,2.7451
"Curvulide B2",0.10544,-3.2456,0.0017984,2.7451
"1-(4-Hydroxyphenyl)-2-aminoethanol",4.9061,2.2946,0.0017984,2.7451
"4-Hydroxy-1,8-epi-isotenerone",85.132,6.4116,0.0018064,2.7432
"[FAhydroxy(18:0)]12_13-dihydroxy-9Z-octadecenoicacid",4.2458,2.086,0.0018546,2.7318
"mz_410.62218_&_RT_0.891",10.558,3.4002,0.0018664,2.729
"[FA(18:3)]13S-hydroperoxy-9Z_11E_14Z-octadecatrienoicacid",0.0022951,-8.7672,0.0018735,2.7273
"N5-(L-1-Carboxyethyl)-L-ornithine",0.027478,-5.1856,0.0018735,2.7273
"3-Amino-N-(3,4-dimethoxybenzyl)-6-methyl-4-(trifluoromethyl)-5,6,7,8-tetrahydrothieno[2,3-b]quinoline-2-carboxamide",0.0068638,-7.1868,0.0018761,2.7267
"C20H36O2P2",0.1468,-2.7681,0.0019028,2.7206
"Penicipyranone",0.0099241,-6.6548,0.0019604,2.7076
"Etoglucid",0.038003,-4.7178,0.0019788,2.7036
"Speciosin H",217.44,7.7645,0.0019796,2.7034
"C4H11N8O6P",0.0043023,-7.8607,0.001999,2.6992
"Laurolactam",83.477,6.3833,0.0020785,2.6822
"2-[(2,2-dimethylbut-3-enoyl)amino]benzoic acid",0.020343,-5.6193,0.0021843,2.6607
"C8H14NO4PS",0.015584,-6.0038,0.0022042,2.6567
"(+/-)-6-Hydroxy-3-oxo-alpha-ionol",0.022509,-5.4734,0.0022103,2.6555
"GP1750000",19.572,4.2907,0.0022399,2.6498
"Deca-5,7,9-triynol",1274.4,10.316,0.0023593,2.6272
"C9H3N9O3",0.01933,-5.693,0.0023604,2.627
"N'-(Chloroacetyl)-3-phenylpropanehydrazide",0.0016995,-9.2007,0.0023886,2.6218
"Damascenone",58.236,5.8638,0.0023886,2.6218
"mz_254.81502_&_RT_0.887",30.157,4.9144,0.0024228,2.6157
"Heptaethylene Glycol",0.092078,-3.441,0.0024228,2.6157
"(1,1-Dioxido-3-thietanyl)acetic acid",0.0054369,-7.523,0.0025045,2.6013
"mz_304.74191_&_RT_0.89",28.039,4.8094,0.0025412,2.595
"Malyngic acid",0.010901,-6.5194,0.0025467,2.594
"(R)-Malate",0.024495,-5.3514,0.0027001,2.5686
"(9S_10S)-9_10-Dihydroxyoctadecanoate",78.392,6.2926,0.0027718,2.5572
"C9H25N4O3P",0.030254,-5.0467,0.0027718,2.5572
"(11S,12S,13R)-11,13-dihydroxy-12-methyltetradecanoic acid",0.079528,-3.6524,0.0027718,2.5572
"?-(Methylenecyclopropyl)glycine",0.20394,-2.2938,0.0027718,2.5572
"4-Hydroxycinnamoylmethane",452.86,8.8229,0.0029532,2.5297
"3-hydroxy-2-N-iso-butyryl-anthranilamide",319.8,8.321,0.0030161,2.5206
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid",176.2,7.4611,0.0030161,2.5206
"mz_320.71599_&_RT_0.753",0.023383,-5.4184,0.0030161,2.5206
"Communiol E",0.048152,-4.3763,0.0030161,2.5206
"mz_468.58067_&_RT_0.891",10.732,3.4239,0.0030161,2.5206
"Creatinine",0.0021671,-8.85,0.0030197,2.52
"Geranylacetate",6.206,2.6337,0.0030254,2.5192
"6-formylsalicylic acid",0.030659,-5.0275,0.0030704,2.5128
"mz_394.64831_&_RT_0.891",20.534,4.3599,0.0030816,2.5112
"N-(3-{[(Cyclohexylcarbonyl)amino]methyl}-3,5,5-trimethylcyclohexyl)cyclohexanecarboxamide",0.066732,-3.9055,0.003153,2.5013
"(2Z)-2-Benzylidene-5,7-dimethyl-3,4-dihydro-1(2H)-naphthalenone",0.082543,-3.5987,0.0032456,2.4887
"C14H31N4OP",0.037326,-4.7437,0.0032746,2.4848
"mz_452.60672_&_RT_0.753",0.13431,-2.8963,0.0033153,2.4795
"8-Methoxymethyl-3-isobutyl-1-methylxanthine",295.99,8.2094,0.0034305,2.4646
"MFCD00025555",0.0016804,-9.217,0.0034446,2.4629
"3,11-dihydroxy-6,8-dimethyldodecanoic acid",58.362,5.867,0.0034446,2.4629
"Erucamide",0.0024591,-8.6676,0.0034592,2.461
"3_4-Dihydroxy-L-phenylalanine(L-Dopa)",0.0066754,-7.2269,0.0035122,2.4544
"NP-020156",0.00021911,-12.156,0.003577,2.4465
"4-epi-8α-hydroxy-15-epi-brefeldin C",0.026196,-5.2545,0.0036105,2.4424
"1_5-Anhydro-D-mannitol",0.024118,-5.3737,0.0038704,2.4122
"C5H18N9O6P",0.022801,-5.4547,0.0042311,2.3735
"mz_262.75756_&_RT_0.754",0.018093,-5.7884,0.0043798,2.3585
"mz_394.6484_&_RT_0.754",0.059452,-4.0721,0.0044708,2.3496
"Drechslerine C",197.54,7.626,0.0046221,2.3352
"mz_122.92428_&_RT_0.745",0.0025992,-8.5877,0.00481,2.3179
"4-Amino-5-hydroxymethyl-2-methylpyrimidine",330.14,8.3669,0.0048487,2.3144
"Takinolide seco-acid",0.0081181,-6.9446,0.0048487,2.3144
"4-Guanidinobutanoate",91.883,6.5217,0.0048487,2.3144
"2-methyl-2,5,6-bornantriol",0.032877,-4.9268,0.0048487,2.3144
"Maniwamycin C",0.0025746,-8.6014,0.0049055,2.3093
"D-Methionine",0.005866,-7.4134,0.0049734,2.3034
"CH4BrOPS3",0.18078,-2.4677,0.0050128,2.2999
"4-N-OCTYLSTYRENE",23.308,4.5428,0.0051179,2.2909
"Brocaeloid C",152.61,7.2537,0.0052411,2.2806
"10_16-Dihydroxyhexadecanoicacid",4.6618,2.2209,0.0052411,2.2806
"Kirkamide",0.03447,-4.8585,0.0052793,2.2774
"(-)-Jasmonicacid",0.22213,-2.1705,0.0052962,2.276
"(R)-2_3-Dihydroxy-3-methylpentanoate",0.0079141,-6.9814,0.0056388,2.2488
"Nicotinuricacid",331.3,8.372,0.0056588,2.2473
"Cyclocarbamide B",0.033928,-4.8814,0.0058311,2.2342
"Cerulenin",0.014844,-6.074,0.0059571,2.225
"2-Oxo-3-piperidinecarbohydrazide",367.57,8.5219,0.0063942,2.1942
"2_5-Dioxopiperazine",0.0019972,-8.9678,0.0064503,2.1904
"MFCD00056652",0.074242,-3.7516,0.0064503,2.1904
"Peniciginseng B",0.19573,-2.353,0.0064503,2.1904
"Indoleacrylicacid",0.026181,-5.2554,0.0065402,2.1844
"Xylarinic acid A",202.1,7.6589,0.006791,2.1681
"mz_254.81511_&_RT_0.749",0.035233,-4.8269,0.0068361,2.1652
"Cytisine",0.061445,-4.0246,0.0071912,2.1432
"mz_378.67424_&_RT_0.891",13.294,3.7327,0.0071912,2.1432
"5-Methyl-N,N'-bis[1-([1,2,4]triazolo[4,3-a]pyridin-3-yl)ethyl]-2,4-pyrimidinediamine",47.12,5.5583,0.0075273,2.1234
"Oleamide",0.0076039,-7.0391,0.0075831,2.1202
"C12H14N10",28.156,4.8154,0.0077852,2.1087
"N-(2-Hexyl-4-oxo-3(4H)-quinazolinyl)-4-hydroxy-1-isobutyl-2-oxo-1,2,5,6,7,8-hexahydro-3-quinolinecarboxamide",153.89,7.2658,0.008795,2.0558
"Indoline",0.0020096,-8.9588,0.0090102,2.0453
"Juniperic acid",36.628,5.1949,0.0090102,2.0453
"C12H31N4O3P",70.098,6.1313,0.0090279,2.0444
"Stachydrine",0.00089496,-10.126,0.0090564,2.043
"N-Acetyl-L-carnosine",400.96,8.6473,0.0091746,2.0374
"L-Phenylalanine",0.10403,-3.265,0.0095738,2.0189
"Le-pyrrolopyrazine B",0.01764,-5.825,0.0096504,2.0155
"1-{[1,2,4]triazolo[1,5-a]pyrimidine-2-carbonyl}-1H-imidazole",0.057453,-4.1215,0.0096504,2.0155
"mz_196.85676_&_RT_0.748",0.15897,-2.6532,0.0097631,2.0104
"Decylbenzene",73.129,6.1924,0.0097817,2.0096
