"","FC","log2(FC)","p.ajusted","-log10(p)"
"C9H19N4O5P",0.0018584,-9.0718,2.0027e-12,11.698
"1-O-Tetradecanoyl-D-glucitol",0.091227,-3.4544,2.5714e-12,11.59
"(ethylenedinitrilo)tetraacetonitrile",262.09,8.0339,3.3229e-12,11.478
"760CU98B9K",0.0019265,-9.0198,4.8757e-12,11.312
"mz_112.02788_&_RT_17.698",180270,17.46,5.2501e-12,11.28
"2-[[(3,4-Dimethoxyphenyl)sulfonyl](4-fluorophenyl)amino]-N-(4-phenoxyphenyl)acetamide",530.11,9.0501,5.8831e-12,11.23
"C12H14N9P",196.46,7.6181,5.8831e-12,11.23
"C18H43N3O7P2",788.16,9.6223,6.3915e-12,11.194
"C7H8N7O4P",13967,13.77,6.4062e-12,11.193
"C22H43N3OP2S",1131.3,10.144,8.4025e-12,11.076
"C23H37N7S2",0.00091451,-10.095,8.4025e-12,11.076
"C12H16N4O3P2",386.12,8.5929,8.4025e-12,11.076
"mz_171.98985_&_RT_17.472",508.28,8.9895,1.0616e-11,10.974
"C13H28ClN4PS2",0.0060229,-7.3753,1.1107e-11,10.954
"2,2'-[Methylenebis(4,1-phenylenemethylene)]dioxirane",122.41,6.9356,1.7261e-11,10.763
"Brassicicene C",0.0037132,-8.0731,1.7942e-11,10.746
"24FC717FE5",0.0011417,-9.7746,1.8194e-11,10.74
"C6H11NO5S5",0.0042996,-7.8616,1.883e-11,10.725
"mz_236.22149_&_RT_7.698",2965,11.534,2.1098e-11,10.676
"1-{(1S)-1-[1-(4-Chloro-2-methylphenyl)-3-(1H-1,2,4-triazol-1-ylmethyl)-1H-1,2,4-triazol-5-yl]ethyl}-1H-tetrazole",299.7,8.2274,2.1098e-11,10.676
"C9H7N2O2P",1238.4,10.274,4.1246e-11,10.385
"C17H39P3",0.00022095,-12.144,4.297e-11,10.367
"3,5-BIS(TRIFLUOROMETHYL)-1-PHENYLPYRAZOLE",5561.8,12.441,4.3099e-11,10.366
"C20H41O2P3",0.0065652,-7.2509,4.5247e-11,10.344
"mz_212.1488_&_RT_0.888",0.0005138,-10.927,5.6625e-11,10.247
"C15H33P3",0.0018329,-9.0916,5.6625e-11,10.247
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one",948.5,9.8895,6.118e-11,10.213
"C19H35N4PS2",515.74,9.0105,6.7026e-11,10.174
"C29H59NO9",0.0014022,-9.4781,7.2291e-11,10.141
"C7H14ClN6PS",137.95,7.108,7.2291e-11,10.141
"p-dicyclohexylbenzene",0.14216,-2.8144,7.2291e-11,10.141
"C6H18ClN9O5",0.0012929,-9.5951,7.3288e-11,10.135
"C13H32N4O5P2",64.54,6.0121,7.4811e-11,10.126
"3-{2-[2-(2-Butoxyethoxy)ethoxy]ethyl}-6,9,12-trioxa-3-azahexadecan-1-ol",0.0033573,-8.2185,7.6666e-11,10.115
"C4H5NO13P2",163.03,7.349,7.7137e-11,10.113
"4-Chloro-N-cyclopropyl-N-(4-piperidinyl)benzenesulfonamide",10842,13.404,8.5779e-11,10.067
"SPF-32629A",0.009054,-6.7872,8.6265e-11,10.064
"C8H19N4O2P",343.89,8.4258,9.9784e-11,10.001
"C5H15N8OPS2",332.14,8.3757,1.0541e-10,9.9771
"7_8-Didehydro-4_5-epoxy-3-methoxy-17-methoxy-(5_)-morphinan-6-one",0.0019274,-9.0191,1.0738e-10,9.9691
"C27H41N2O3PS",0.0053209,-7.5541,1.2206e-10,9.9134
"Turbomycin A",2078.3,11.021,1.2488e-10,9.9035
"mz_139.91447_&_RT_0.724",0.0077048,-7.02,1.6292e-10,9.788
"C24H56N9O4P",644.76,9.3326,1.6799e-10,9.7747
"C10E4",196.04,7.615,2.1343e-10,9.6707
"C24H42P2",0.0021952,-8.8314,2.7344e-10,9.5631
"C18H43N6OP",182.39,7.5109,2.8429e-10,9.5462
"C18H34N6OS2",69.776,6.1247,2.9326e-10,9.5327
"4-Phenylcyclohexanone",0.0024981,-8.645,2.958e-10,9.529
"4-Cyano-N-{[4-(3-methoxypropyl)-4H-1,2,4-triazol-3-yl]methyl}-1H-pyrrole-2-carboxamide",250.2,7.9669,3.0299e-10,9.5186
"5-methoxy-2,4-dimethylindole",0.00045465,-11.103,3.298e-10,9.4818
"mz_185.1016_&_RT_0.801",3.6744e-05,-14.732,3.3735e-10,9.4719
"C8H23N4O2P",0.0024986,-8.6446,3.3735e-10,9.4719
"1_8-Diazacyclotetradecane-2_9-dione",13252,13.694,3.7187e-10,9.4296
"8-{[2-(Dimethylamino)ethyl]amino}-7-isobutyl-3-methyl-3,7-dihydro-1H-purine-2,6-dione",0.18867,-2.4061,5.9322e-10,9.2268
"C16H36ClN3O7S",194.89,7.6065,7.9871e-10,9.0976
"4'-ethyl-1,1'-bi(cyclohexyl)-4-one",0.00081543,-10.26,9.0964e-10,9.0411
"C13H30NO2PS2",112.99,6.8201,9.0964e-10,9.0411
"C5H18N9O6P",618.37,9.2723,1.101e-09,8.9582
"C10H23N4PS2",327.84,8.3569,1.101e-09,8.9582
"Triethyl orthoformate",0.00026709,-11.87,1.1477e-09,8.9402
"methyprylon",0.0031934,-8.2907,1.1477e-09,8.9402
"C11H30N5O5P",202.4,7.661,1.1959e-09,8.9223
"C8H20N5OP",246.3,7.9443,1.247e-09,8.9041
"C18H39OP3S",0.0064661,-7.2729,1.2593e-09,8.8999
"C22H45N4O4P",0.0065671,-7.2505,1.3066e-09,8.8839
"mz_131.01029_&_RT_0.807",957.22,9.9027,1.5092e-09,8.8213
"?,?'-diglycerol",7.0557e-05,-13.791,1.5522e-09,8.8091
"N-[(1-Methyl-1H-pyrrol-2-yl)methyl]-2-[1-(1H-tetrazol-1-ylmethyl)cyclohexyl]acetamide",0.00080726,-10.275,1.5522e-09,8.8091
"C8H20ClN2O6PS",150.05,7.2293,1.8194e-09,8.7401
"C6H16N6O4P2",4.4069,2.1398,1.8987e-09,8.7215
"1-Allyl-3-[di-1-azepanyl(2-methyl-2-propanyl)phosphoranylidene]thiourea",0.0030142,-8.374,2.1666e-09,8.6642
"C14H36N10O",0.0030142,-8.374,2.1666e-09,8.6642
"MR-387-A",301.67,8.2368,2.8973e-09,8.538
"mz_113.03417_&_RT_0.923",8.0579e-06,-16.921,3.4915e-09,8.457
"2-(beta-D-Glucosyl)-sn-glycerol",2533.7,11.307,4.9503e-09,8.3054
"N-{N-(4,6-Dimethyl-2-pyrimidinyl)-N'-[2-(1H-indol-3-yl)ethyl]carbamimidoyl}acetamide",0.0016416,-9.2506,5.2919e-09,8.2764
"C12H27ClN5O5P",147.25,7.2021,5.8332e-09,8.2341
"mz_171.98984_&_RT_17.378",0.0013541,-9.5284,6.7369e-09,8.1715
"C18H41N4O9P",323.92,8.3395,7.2396e-09,8.1403
"C12H35N10O3P",308.2,8.2677,7.2876e-09,8.1374
"C18H31N4O5P",1173.9,10.197,7.778e-09,8.1091
"Microansamycin D",0.0031323,-8.3186,8.2124e-09,8.0855
"Citridone B",314.66,8.2977,8.4563e-09,8.0728
"mz_394.64836_&_RT_0.814",163.98,7.3574,8.8603e-09,8.0525
"Triphenylphosphine oxide",0.00058625,-10.736,9.181e-09,8.0371
"mz_112.89545_&_RT_0.739",3.4956e-05,-14.804,9.3854e-09,8.0275
"C5H14N3OP3",173.1,7.4354,1.1533e-08,7.938
"Seimatopolide B",0.0044903,-7.799,1.2037e-08,7.9195
"mz_94.50214_&_RT_17.469",947.84,9.8885,1.4293e-08,7.8449
"N-{5-[(2E)-1,10-Dihydroxy-2-hexadecen-1-yl]-4-hydroxy-2-oxotetrahydro-3-furanyl}acetamide",0.0046481,-7.7491,1.4495e-08,7.8388
"C20H34N2P2S",0.00039056,-11.322,1.5124e-08,7.8203
"mz_208.19037_&_RT_5.853",0.00060441,-10.692,1.5124e-08,7.8203
"C16H44N8O2P2",0.008246,-6.9221,1.6103e-08,7.7931
"C10H27N4O2P",0.0044353,-7.8168,1.7516e-08,7.7566
"C15H33N4O4P",0.0094627,-6.7235,1.7804e-08,7.7495
"MR-387-B",0.0041879,-7.8996,1.8123e-08,7.7418
"C17H37P3",0.030696,-5.0258,2.1713e-08,7.6633
"2'-Hydroxydaidzein",0.0054442,-7.5211,2.2958e-08,7.6391
"mz_186.82788_&_RT_0.74",0.00074299,-10.394,2.3223e-08,7.6341
"C25H49NO5P2S",0.0041096,-7.9268,2.3223e-08,7.6341
"mz_190.82261_&_RT_0.74",0.0035595,-8.1341,2.6093e-08,7.5835
"N-[3-(4-Ethyl-1-piperazinyl)-2-methylpropyl]-4-(methoxymethyl)-4-piperidinecarboxamide",0.0017002,-9.2001,2.8063e-08,7.5519
"C13H24N5O4P",0.0094849,-6.7201,3.0385e-08,7.5173
"Leucinamide",1079.8,10.077,3.0557e-08,7.5149
"8-(4-Ethyl-1-piperazinyl)-3-methyl-7-(2-methyl-2-propen-1-yl)-3,7-dihydro-1H-purine-2,6-dione",0.04163,-4.5862,3.123e-08,7.5054
"Solanapyrone E",0.0020193,-8.952,3.1565e-08,7.5008
"mz_246.78361_&_RT_0.815",286.09,8.1603,3.2934e-08,7.4824
"C18H45N8O5P",92.043,6.5242,3.3488e-08,7.4751
"mz_113.03416_&_RT_0.989",106300,16.698,3.5955e-08,7.4442
"1-[2-Ethyl-2-(methylsulfanyl)butyl]-3-(1-methoxy-2-propanyl)thiourea",0.0027033,-8.5311,3.7945e-08,7.4208
"(2R)-2-amino-6-hydroxy-4-hexynoic acid",5001.7,12.288,5.2483e-08,7.28
"Boc-NH-PEG4-CH2CH2NH2",1039.5,10.022,5.3161e-08,7.2744
"3-({2-[(1,3-Thiazol-4-ylmethyl)amino]ethyl}sulfanyl)-1-propanol",205.32,7.6817,5.5217e-08,7.2579
"MFCD00054545",12.067,3.5929,5.7379e-08,7.2412
"6-Methoxy-8<6'-hydroxy-2'-methoxy-4'(3''-methyl-2''-butenyl)phenoxy>2,2-dimethylchromene",6.0916,2.6068,6.4696e-08,7.1891
"mz_254.81509_&_RT_0.81",157.57,7.2998,6.5433e-08,7.1842
"mz_320.71595_&_RT_0.814",379.59,8.5683,7.0368e-08,7.1526
"C8H23N10OP",0.0091037,-6.7793,7.8335e-08,7.106
"C26H51N5O4",1377.9,10.428,7.9663e-08,7.0987
"Solanapyrone K",0.0076983,-7.0212,1.1589e-07,6.936
"6-O-Methylnorlaudanosoline",0.0062726,-7.3167,1.2791e-07,6.8931
"Cocaine",0.0089515,-6.8036,1.3218e-07,6.8788
"C12H29N4OP",0.00034034,-11.521,1.3524e-07,6.8689
"C14H39N9O5P2",96.576,6.5936,1.5019e-07,6.8234
"mz_128.01895_&_RT_0.707",0.00084646,-10.206,1.5861e-07,6.7997
"(3S,6S,10S)-3-Benzyl-4,6-dimethyl-5,8,12-trioxo-N-[2-(2-oxo-1-pyrrolidinyl)ethyl]-3,4,5,6,7,8,9,10,11,12-decahydro-2H-1,4,7,11-benzoxatriazacyclotetradecine-10-carboxamide",0.0041057,-7.9281,1.6143e-07,6.792
"C7H2N6O3",6030.2,12.558,1.7226e-07,6.7638
"C17H33ClO5",0.0060453,-7.37,1.7623e-07,6.7539
"mz_262.75748_&_RT_0.74",0.00086983,-10.167,1.7771e-07,6.7503
"Formycin B",9.522e-05,-13.358,2.0581e-07,6.6865
"10_16-Dihydroxyhexadecanoicacid",0.00079663,-10.294,2.068e-07,6.6845
"C22H46N7O5P",6330.8,12.628,2.6713e-07,6.5733
"8-(4'-O-methyl-α-rhamnopyranosyloxy)-2-methyquinoline",0.00098434,-9.9886,2.6725e-07,6.5731
"C32H45N4OPS",304.39,8.2498,3.0079e-07,6.5217
"mz_244.78632_&_RT_0.74",0.003396,-8.2019,3.0403e-07,6.5171
"mz_246.78355_&_RT_0.739",0.003396,-8.2019,3.0403e-07,6.5171
"Lachnone C",0.001897,-9.042,3.0829e-07,6.511
"mz_82.0136_&_RT_0.706",0.0004641,-11.073,3.1793e-07,6.4977
"Megastigma-4,6(E),8(Z)-triene",0.002306,-8.7604,3.2254e-07,6.4914
"mz_161.02917_&_RT_0.707",0.0010086,-9.9534,3.4016e-07,6.4683
"23-Dihydroxy-2-(1-hydroxytridecyl)-4-met",250.55,7.9689,3.4704e-07,6.4596
"C16H34N2O7",250.55,7.9689,3.4704e-07,6.4596
"mz_264.84393_&_RT_0.807",274.42,8.1002,3.481e-07,6.4583
"(3-Methylene-4-penten-1-yl)benzene",0.0024171,-8.6925,3.5251e-07,6.4528
"C18H45N4O3P3",129.05,7.0118,4.6272e-07,6.3347
"Hexadeca-5,9-dienoic acid",0.11202,-3.1582,4.8768e-07,6.3119
"C11H15N4O4P",3003.7,11.553,5.2648e-07,6.2786
"Drechslerine C",0.0012364,-9.6596,5.4444e-07,6.264
"mz_320.71589_&_RT_0.739",0.0027312,-8.5162,5.9367e-07,6.2265
"C6H10N10O2",0.00035053,-11.478,6.0934e-07,6.2151
"5-Hydroxyconiferylalcohol",0.0023356,-8.742,6.101e-07,6.2146
"mz_340.68461_&_RT_0.739",0.0052527,-7.5727,6.1219e-07,6.2131
"2,6-di-tert-butyl-4-ethylphenol",0.00068696,-10.507,7.0241e-07,6.1534
"Naphthalene",21534,14.394,7.1529e-07,6.1455
"C12H21N6O2P",162.04,7.3402,7.1529e-07,6.1455
"PEG13",105.56,6.722,7.1772e-07,6.144
"(6S)-Hydroxyhyoscyamine",0.010282,-6.6037,7.179e-07,6.1439
"mz_86.01123_&_RT_0.707",0.0092451,-6.7571,7.2153e-07,6.1417
"1-Boc-1,10-diaminodecane",1538.4,10.587,7.6336e-07,6.1173
"C18H33ClN5O4P",0.0052018,-7.5868,7.7648e-07,6.1099
"mz_336.68973_&_RT_0.739",0.0012667,-9.6247,8.1137e-07,6.0908
"mz_468.5808_&_RT_0.814",119.65,6.9027,8.2749e-07,6.0822
"mz_122.92424_&_RT_0.732",0.00016582,-12.558,8.3899e-07,6.0762
"mz_542.51353_&_RT_0.815",52.866,5.7243,8.4718e-07,6.072
"mz_544.51047_&_RT_0.814",52.866,5.7243,8.4718e-07,6.072
"4-[(4-Amino-1,2,5-oxadiazol-3-yl)methoxy]-1,2,5-oxadiazol-3-amine",0.0014538,-9.426,8.6207e-07,6.0645
"11beta_21-Dihydroxy-5beta-pregnane-3_20-dione",173.32,7.4373,1.0383e-06,5.9837
"1-(2-Chloroethyl)-3-cyclopentylthiourea",123.35,6.9466,1.0573e-06,5.9758
"C16H33N8P",0.0020353,-8.9406,1.1226e-06,5.9498
"mz_99.02008_&_RT_0.705",0.0032081,-8.284,1.1545e-06,5.9376
"C16H31O6P",0.0022548,-8.7928,1.1669e-06,5.933
"(5Z)-8-Hydroxy-5-(hydroxyimino)-7-methyl-5,8-dihydro-4H-pyrano[2,3-b]pyridin-4-one",357,8.4798,1.1681e-06,5.9325
"Geranylacetate",0.0016255,-9.2649,1.175e-06,5.93
"C29H41NOP2",251.67,7.9754,1.1946e-06,5.9228
"C14H31N4P",0.0026685,-8.5497,1.203e-06,5.9197
"5-Nitro-2,4,6-pyrimidinetriamine 1,3-dioxide",969.61,9.9213,1.2038e-06,5.9194
"[FAhydroxy(20:4/2:0)]5S_12R-dihydroxy-6Z_8E_10E_14Z-eicosatetraene-1_20-dioicacid",0.004194,-7.8974,1.3336e-06,5.875
"C21H50N4O9P2",0.0040403,-7.9513,1.3498e-06,5.8697
"N-[2-(4-hydroxyphenyl)-2-oxoethyl]acetamide",0.0045027,-7.795,1.3498e-06,5.8697
"Decyl 2-acetamido-2-deoxy-beta-D-glucopyranoside",0.0025895,-8.5931,1.3605e-06,5.8663
"N-(2-Methoxyethyl)-6-[4-(3-methoxypropyl)-1-piperidinyl][1,2,5]oxadiazolo[3,4-b]pyrazin-5-amine",0.00059806,-10.707,1.4704e-06,5.8326
"10-Methyldodecan-4-olide",0.00024457,-11.997,1.5416e-06,5.812
"4-{4-[4-Ethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-4H-1,2,4-triazol-3-yl]-1-piperidinyl}-6-methyl-2-pyrimidinamine",0.0018689,-9.0636,1.5908e-06,5.7984
"5-Amino-3-{(Z)-1-cyano-2-[4-(diethylamino)phenyl]vinyl}-1-(2-hydroxyethyl)-1H-pyrazole-4-carbonitrile",343.84,8.4256,1.5908e-06,5.7984
"(5E)-7-{4-Hydroxy-2-[(1E)-3-hydroxy-1-octen-1-yl]-6-oxotetrahydro-2H-pyran-3-yl}-5-heptenoic acid",430.49,8.7498,2.0384e-06,5.6907
"Coniothyrinone B",237.92,7.8943,2.1072e-06,5.6763
"C20H33N8O3P",2042.6,10.996,2.1726e-06,5.663
"N-{Hydroxy[(2-methyl-2-propanyl)oxy]methylene}-O-[2-({hydroxy[(2-methyl-2-propanyl)oxy]methylene}amino)ethyl]serine",0.0051122,-7.6118,2.1726e-06,5.663
"C11H29N4P",0.006267,-7.318,2.2887e-06,5.6404
"mz_468.58073_&_RT_0.74",0.0087735,-6.8326,2.3271e-06,5.6332
"mz_398.64277_&_RT_0.739",0.015834,-5.9808,2.3271e-06,5.6332
"C19H42N9OPS",0.0086371,-6.8552,2.3651e-06,5.6261
"18S-hydroxyneodihydroprotolichesterinic acid",0.1556,-2.6841,2.401e-06,5.6196
"Methyl 4-Boc-piperazine-2-acetate",208.6,7.7046,2.4268e-06,5.615
"Coniferylaldehyde",0.0026202,-8.5761,2.4688e-06,5.6075
"C31H39NOP2",493.58,8.9471,2.486e-06,5.6045
"mz_470.57799_&_RT_0.738",0.0089208,-6.8086,2.489e-06,5.604
"N-{Adamantan-1-yl[bis(dimethylamino)]phosphoranylidene}-1-azepanecarbothioamide",0.0030667,-8.3491,2.6694e-06,5.5736
"(9Z)-Tetradecenoicacid",0.00056112,-10.799,2.7135e-06,5.5665
"C9H19N4O3P",0.0032675,-8.2576,2.7135e-06,5.5665
"1-(5-Decanoyl-4-nonyl-1,4-dihydro-3-pyridinyl)-1-dodecanone",0.020484,-5.6094,2.9376e-06,5.532
"mz_394.64831_&_RT_0.739",0.0061069,-7.3553,2.9397e-06,5.5317
"Diethyl Tenofovir",0.0027387,-8.5123,3.0982e-06,5.5089
"mz_196.85669_&_RT_0.735",0.007924,-6.9796,3.129e-06,5.5046
"C20H45O2P3",0.0031331,-8.3182,3.1326e-06,5.5041
"Ethyl 4-[3-({3-[4-(4-methoxyphenyl)-1-piperazinyl]propyl}amino)-2,5-dioxo-1-pyrrolidinyl]benzoate",115.2,6.848,3.1395e-06,5.5031
"N5-Ethyl-L-glutamine",11.681,3.5461,3.1418e-06,5.5028
"5-Amino-1H-pyrazole-1-ethanol",0.0052092,-7.5847,3.3008e-06,5.4814
"Phaeochromycin A",1056.3,10.045,3.4491e-06,5.4623
"Virescenoside Z8",184.39,7.5266,3.4491e-06,5.4623
"1_2-Diaminobenzene",0.0019148,-9.0286,3.4905e-06,5.4571
"C8H14N5O3P",0.0016742,-9.2223,3.5371e-06,5.4514
"6-formylsalicylic acid",0.010517,-6.5711,3.5371e-06,5.4514
"mz_112.89547_&_RT_0.814",30408,14.892,3.5637e-06,5.4481
"mz_414.61676_&_RT_0.739",0.0094019,-6.7328,3.5637e-06,5.4481
"mz_410.62219_&_RT_0.739",0.0039165,-7.9962,3.6078e-06,5.4428
"Subericacid",0.0014615,-9.4184,3.6137e-06,5.442
"3-methyl-5-(3-methylbut-2-en-1-yl)-1H-isochromen-6-ol",156.12,7.2865,3.6725e-06,5.435
"C12H27N4OP",153.23,7.2596,3.9106e-06,5.4078
"Disciformycin A",2836.6,11.47,3.9475e-06,5.4037
"C21H41N4O9P",0.012828,-6.2846,4.1327e-06,5.3838
"mz_486.55182_&_RT_0.739",0.0075573,-7.0479,4.2155e-06,5.3751
"[FAoxo_amino(6:0)]3-oxo-5S-amino-hexanoicacid",0.036437,-4.7785,4.4946e-06,5.3473
"5,7-Dihydroxy-3-(4-methoxyphenyl)-6,8-bis[(4-methyl-1-piperazinyl)methyl]-4H-chromen-4-one",3393.3,11.728,4.6894e-06,5.3289
"C12H23N4O2P",16508,14.011,5.0106e-06,5.3001
"C18H42N6O10",0.0046159,-7.7592,5.1577e-06,5.2875
"2-Imino-N-[2-(4-methoxyphenyl)ethyl]-10-methyl-1-[3-(4-morpholinyl)propyl]-5-oxo-1,5-dihydro-2H-dipyrido[1,2-a:2',3'-d]pyrimidine-3-carboxamide",0.00013856,-12.817,5.4399e-06,5.2644
"mz_346.71865_&_RT_0.736",0.009172,-6.7685,5.5973e-06,5.252
"mz_206.88552_&_RT_0.731",0.0010621,-9.8788,5.6495e-06,5.248
"C5HClN10O3S4",55.323,5.7898,5.6495e-06,5.248
"mz_354.75003_&_RT_0.735",0.019469,-5.6827,5.6495e-06,5.248
"mz_484.55473_&_RT_0.74",0.0076412,-7.032,5.6604e-06,5.2472
"3-Methyl-1-(2_4_6-trihydroxyphenyl)butan-1-one",0.0014102,-9.4699,5.7226e-06,5.2424
"mz_104.07026_&_RT_0.909",0.00031433,-11.635,5.8352e-06,5.2339
"(6Z,9S)-3,4-trans-9-hydroxy-3-methyldodec-6-en-4-olide",832.24,9.7008,5.8367e-06,5.2338
"tert-Butyl 4-(2-isopropyl-2H-tetrazol-5-yl)piperazine-1-carboxylate",123.2,6.9449,5.8617e-06,5.232
"Umbilicaxanthone B",111.93,6.8065,5.8821e-06,5.2305
"C15H24N6P2",0.0031034,-8.3319,5.883e-06,5.2304
"mz_254.81506_&_RT_0.735",0.0046686,-7.7428,6.0147e-06,5.2208
"mz_280.81779_&_RT_0.733",0.0018,-9.1177,6.0688e-06,5.2169
"C38H40NP",0.0043308,-7.8512,6.0688e-06,5.2169
"mz_112.99071_&_RT_0.708",0.00054608,-10.839,6.5038e-06,5.1868
"3-Methylbut-2-enal",5.0415,2.3338,6.5449e-06,5.1841
"N~3~,N~3~-Diethyl-N~2~,N~2~,5-trimethyl-3H-1,3-benzazaphosphole-2,3-diamine 3-sulfide",263.38,8.041,6.8853e-06,5.1621
"C27H38OS",104.05,6.7012,6.8853e-06,5.1621
"mz_193.99688_&_RT_0.785",330.76,8.3697,7.5663e-06,5.1211
"Tetramethylcystamine",0.0003558,-11.457,7.8923e-06,5.1028
"C31H42O3P2",0.043747,-4.5147,8.0758e-06,5.0928
"mz_304.74207_&_RT_0.738",0.014577,-6.1001,8.2059e-06,5.0859
"C6H11N8OP",0.0061239,-7.3513,9.0723e-06,5.0423
"C10H23N4O2P",0.0062709,-7.3171,1.021e-05,4.991
"Neohydroxyaspergillic acid",1332.6,10.38,1.0862e-05,4.9641
"mz_100.06287_&_RT_16.097",0.00331,-8.2389,1.0909e-05,4.9622
"Glycerol phenylbutyrate",5400.3,12.399,1.0943e-05,4.9609
"C15H36N9P",317.08,8.3087,1.1674e-05,4.9328
"12-hydroxydodecanoic acid methyl ester",0.0010866,-9.846,1.1937e-05,4.9231
"mz_161.02918_&_RT_0.782",638.19,9.3178,1.2231e-05,4.9125
"mz_84.01123_&_RT_0.707",0.0029803,-8.3903,1.2349e-05,4.9084
"2-Methyl-2-propanyl 1,4,10-trioxa-7,13-diazacyclopentadecane-7-carboxylate",5.3398,2.4168,1.2376e-05,4.9074
"2-{[(1-Isobutylcyclopentyl)methyl]sulfamoyl}butanethioamide",0.0077948,-7.0033,1.2902e-05,4.8893
"1,3,4-Tribromo-1,1,2,2-tetrafluorobutane",0.019898,-5.6513,1.3005e-05,4.8859
"C7H25N10OP",0.0078621,-6.9909,1.306e-05,4.884
"2-Amino-6,7-dimethoxy-3-quinolinecarboxamide",239.99,7.9068,1.3373e-05,4.8738
"mz_264.84388_&_RT_0.733",0.0022816,-8.7757,1.3478e-05,4.8704
"mz_560.48426_&_RT_0.739",0.016352,-5.9344,1.4166e-05,4.8487
"Pleosporalone A",0.0002346,-12.058,1.4526e-05,4.8378
"4-hydroxy-3-(3-methylbut-2-enyl)benzamide",0.0021532,-8.8593,1.576e-05,4.8024
"C24H40P2",0.0068874,-7.1818,1.7051e-05,4.7682
"Dendryphiellic acid A",12122,13.565,1.7785e-05,4.7499
"C30H38N3OPS",406.34,8.6665,1.7789e-05,4.7499
"1-(4-{4-Methyl-5-[(4-methyl-1-piperazinyl)methyl]-4H-1,2,4-triazol-3-yl}-1-piperidinyl)ethanone",0.00037735,-11.372,1.8307e-05,4.7374
"2_5-Dioxopiperazine",2413.6,11.237,1.8843e-05,4.7248
"C12H29N4O4P",0.0029699,-8.3954,1.9887e-05,4.7014
"3''-hydroxy-geranylhydroquinone",186.46,7.5427,2.009e-05,4.697
"C23H50N9O3PS",0.011473,-6.4456,2.0784e-05,4.6823
"BOC-β-CYCLOHEXYL-ALA-OH",438.01,8.7748,2.1279e-05,4.672
"mz_186.82792_&_RT_0.815",1620.4,10.662,2.1554e-05,4.6665
