"","FC","log2(FC)","p.ajusted","-log10(p)"
"Corynechromone I",189.1,7.563,0.0023021,2.6379
"[FA(18:0)]12R_13S-epoxy-9Z-octadecenoicacid",0.20574,-2.2811,0.0023238,2.6338
"Antrodin D",0.21425,-2.2226,0.0026501,2.5767
"4-((1-acetoxy-3-methylpentan-2-yl)amino)-3-methyl-4-oxobutanoic acid",144.1,7.1709,0.0036261,2.4406
"8'-Hydroxyabscisate",0.22274,-2.1665,0.0036322,2.4398
"NP-006175",730.83,9.5134,0.0037004,2.4318
"Laurophenone",0.15966,-2.6469,0.004074,2.39
"(2E_6E)-(10R_11S)-10_11-Epoxy-3_7_11-trimethyltrideca-2_6-dienoicacid",0.17606,-2.5059,0.0045949,2.3377
"N-[3-(Diethylamino)propyl]-2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)acetamide",0.16685,-2.5834,0.0046834,2.3294
"Dendryphiellic acid A",4.1601,2.0566,0.0047108,2.3269
"RCL S261076",4.5458,2.1845,0.0048547,2.3138
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid",0.2411,-2.0523,0.0048547,2.3138
"3-{2-[2-(3-Azidopropoxy)ethoxy]ethoxy}-1-propanamine",0.04254,-4.555,0.0049689,2.3037
"3-amino-2-phenyl-2H-pyrazolo[4,3-c]pyridine-4,6-diol",0.19593,-2.3516,0.005073,2.2947
"Trans-6-hydroxymethyl-3-methyl-7-oxo-undecan-4-olide",0.15155,-2.7221,0.0051753,2.2861
"Tetradecanedioicacid",0.21891,-2.1916,0.0051753,2.2861
"17a-Estradiol",0.15864,-2.6562,0.00531,2.2749
"2E_6E-farnesol",5.7659,2.5275,0.00531,2.2749
"Xanthine",0.164,-2.6082,0.0057553,2.2399
"N5-Ethyl-L-glutamine",19.024,4.2497,0.0057789,2.2382
"3-Oxododecanoicacid",0.20805,-2.265,0.0059649,2.2244
"Ficiolide D",77.764,6.281,0.0067237,2.1724
"Appenolide C",0.065403,-3.9345,0.0067237,2.1724
"Lentzeoside C",12.198,3.6086,0.0069874,2.1557
"Globosuxanthone C",335.43,8.3899,0.0083215,2.0798
"Ochratoxin B",68.255,6.0929,0.0083215,2.0798
"(-)-alpha-Cedrene",4.8033,2.264,0.0084529,2.073
"Ethanol, 2,2â€²-[(2-undecyl-4(5H)-oxazolylidene)bis(methyleneoxy)]bis-",0.051658,-4.2749,0.0089642,2.0475
"2,3-Dinor-11β-prostaglandin F2α",0.18628,-2.4245,0.0089642,2.0475
"10-Oxodecanoate",0.14365,-2.7994,0.0092258,2.035
