"","FC","log2(FC)","p.ajusted","-log10(p)"
"8-hydroxy-8,9-dihydrolactidomycin",496.17,8.9547,4.5082e-07,6.346
"mz_394.64839_&_RT_0.837",0.0055287,-7.4989,4.5082e-07,6.346
"OxidizedLatialuciferin",559.36,9.1276,4.931e-07,6.3071
"mz_118.88875_&_RT_0.836",0.024822,-5.3322,4.931e-07,6.3071
"C31H39NOP2",374.35,8.5482,5.213e-07,6.2829
"C19H45N4O4PS2",208.28,7.7024,5.5982e-07,6.252
"mz_185.10162_&_RT_0.799",7719.9,12.914,5.8317e-07,6.2342
"Takinolide seco-acid",166.66,7.3808,6.2738e-07,6.2025
"[SThydrox]17beta-hydroxyandrost-4-en-3-one3-D-glucuronide",15.526,3.9566,8.3877e-07,6.0764
"mz_112.89545_&_RT_0.738",26848,14.713,1.0134e-06,5.9942
"mz_336.68981_&_RT_0.837",0.0012504,-9.6434,1.0134e-06,5.9942
"D-1-Aminopropan-2-olO-phosphate",197.95,7.629,1.0134e-06,5.9942
"(9Z)-Tetradecenoicacid",0.0012158,-9.6839,1.1235e-06,5.9494
"Azelaicacid",769.79,9.5883,1.1647e-06,5.9338
"Pentadec-8-en-2-one",303.45,8.2453,1.2511e-06,5.9027
"2,3-Dibromo-6,7-dichloro-quinoxaline",63.511,5.9889,1.2511e-06,5.9027
"1,1'-(Octylimino)dipropan-2-ol",0.064543,-3.9536,1.2511e-06,5.9027
"Tanikolide",394.8,8.625,1.4201e-06,5.8477
"mz_196.85672_&_RT_0.831",0.01312,-6.2521,1.4201e-06,5.8477
"1-Chloro-6-fluorohexane",7.0388e-05,-13.794,1.5069e-06,5.8219
"Trans-Non-2-en-(4.6.8)-triyn-1-ol",0.0020131,-8.9564,1.6221e-06,5.7899
"C5H18N9O6P",408.14,8.6729,1.6221e-06,5.7899
"mz_346.7188_&_RT_0.832",0.015451,-6.0162,1.6221e-06,5.7899
"Furfuranol",24.323,4.6042,1.6409e-06,5.7849
"C27H36S",229.8,7.8443,1.6679e-06,5.7778
"mz_340.68472_&_RT_0.837",0.0054304,-7.5247,1.6679e-06,5.7778
"C18H41N4O10P",161.62,7.3365,1.6679e-06,5.7778
"C6H16N3P3",5.3339,2.4152,1.6679e-06,5.7778
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone",447.95,8.8072,1.8182e-06,5.7404
"undecaethylene glycol",0.019454,-5.6838,1.8899e-06,5.7236
"N-[3-Chloro-5-methoxy-4-(3-methylbutoxy)benzoyl]-O,2-dimethylserine",100.03,6.6442,1.9508e-06,5.7098
"Gonan-3-ol",129.09,7.0123,1.9862e-06,5.702
"4-(Methylsulfanyl)-1-nonyl-4-piperidinecarbothioamide",0.0018033,-9.1152,2.0123e-06,5.6963
"C8H23N4OP",0.0020131,-8.9564,2.0771e-06,5.6825
"(+)-ethyl homononactyl nonactate",162.4,7.3434,2.0771e-06,5.6825
"S-Isopropyl thiosenecioate",1.1122e-05,-16.456,2.1333e-06,5.6709
"mz_122.92426_&_RT_0.828",0.00029304,-11.737,2.1333e-06,5.6709
"mz_468.58081_&_RT_0.739",131.68,7.0409,2.1333e-06,5.6709
"Benzyl(2R_3S)-2-methyl-3-hydroxybutanoate",140.06,7.1299,2.137e-06,5.6702
"C23H42O8",246.24,7.9439,2.1658e-06,5.6644
"C10H27N4O2P",82.282,6.3625,2.1669e-06,5.6642
"5,7-Dihydroxy-6,8-bis[(4-methyl-1-piperazinyl)methyl]-2-phenyl-4H-chromen-4-one",0.012158,-6.362,2.1669e-06,5.6642
"C12H14N10",290.18,8.1808,2.2172e-06,5.6542
"C13H25N4O2PS",0.0022859,-8.773,2.2206e-06,5.6535
"1,1-bis(propan-2-yl) 3-{[(tert-butoxy)carbonyl]amino}cyclobutane-1,1-dicarboxylate",144.06,7.1705,2.2206e-06,5.6535
"C4H11N8O6P",4.0028,2.001,2.2206e-06,5.6535
"Geranylacetate",0.0025342,-8.6242,2.2403e-06,5.6497
"N-{2-Methyl-5-[(3-methylbutanoyl)amino]phenyl}-9-oxooctahydro-2H-pyrazino[1,2-a]pyrazine-2-carboxamide",205.48,7.6829,2.2403e-06,5.6497
"C17H39N4O5P",190.65,7.5748,2.2403e-06,5.6497
"C5H7ClN2O9P2",138.66,7.1154,2.2403e-06,5.6497
"Cyclofenil diphenol",0.0096807,-6.6907,2.2403e-06,5.6497
"mz_410.62228_&_RT_0.837",0.003919,-7.9953,2.2605e-06,5.6458
"mz_113.03411_&_RT_0.916",58204,15.829,2.3232e-06,5.6339
"N-{4-[(2R,3R)-3-(Hydroxymethyl)-4-methyl-5-oxo-2-morpholinyl]phenyl}-2-methylbenzamide",0.0031498,-8.3105,2.3232e-06,5.6339
"mz_243.18273_&_RT_0.759",1904.7,10.895,2.3243e-06,5.6337
"10,13-Dimethyl-4,7,16,19-tetraoxa-10,13-diazadocosane-1,22-dioic acid",301.35,8.2353,2.4246e-06,5.6154
"beta-Ionone",519.27,9.0204,2.5104e-06,5.6003
"5,8a-Dihydroxy-13-normarasm-7-one",0.0032839,-8.2504,2.5104e-06,5.6003
"23D6XVI233",3494.7,11.771,2.8381e-06,5.547
"C10H23N4PS2",231.47,7.8547,2.9089e-06,5.5363
"C5H13N5OS2",0.00019712,-12.309,2.9245e-06,5.5339
"mz_320.716_&_RT_0.837",0.0024939,-8.6474,3.2428e-06,5.4891
"C19H41NO4",105.25,6.7177,3.2428e-06,5.4891
"C16H32N2O7S",245.56,7.9399,3.3978e-06,5.4688
"Methyl α-Acetylmyristate",312.62,8.2883,3.4259e-06,5.4652
"C8H20N5OP",0.0049279,-7.6648,3.5984e-06,5.4439
"C29H38N4P2",0.015062,-6.0529,3.6642e-06,5.436
"(R)-2_3-Dihydroxy-3-methylbutanoate",29.831,4.8987,3.6927e-06,5.4327
"Platenolide I",0.0026203,-8.5761,3.9911e-06,5.3989
"(ethylenedinitrilo)tetraacetonitrile",0.004722,-7.7264,3.9911e-06,5.3989
"Methyl 5-(sec-butylamino)-1-[2-(1H-indol-3-yl)ethyl]-3-[(tetrahydro-3-furanylcarbonyl)amino]-1H-pyrrolo[2,3-b]pyridine-2-carboxylate",528.05,9.0445,4.0373e-06,5.3939
"mz_104.07021_&_RT_0.91",1887.1,10.882,4.112e-06,5.3859
"C17H32N10O",1360,10.409,4.1358e-06,5.3834
"C33H43NO2P2",0.00075921,-10.363,4.1358e-06,5.3834
"C16H34N6O3S5",0.0020926,-8.9005,4.1358e-06,5.3834
"(11S,12S,13R)-11,13-dihydroxy-12-methyltetradecanoic acid",58.995,5.8825,4.1358e-06,5.3834
"1-(5-Decanoyl-4-nonyl-1,4-dihydro-3-pyridinyl)-1-dodecanone",54.989,5.7811,4.1358e-06,5.3834
"mz_542.51303_&_RT_0.739",54.989,5.7811,4.1358e-06,5.3834
"2,6,10-trimethyldodeca-2,6,10-triene",209.52,7.7109,4.66e-06,5.3316
"N-Heptyl-N'-(3-isopropoxypropyl)succinamide",176.51,7.4636,4.66e-06,5.3316
"ionene",340.16,8.4101,4.7571e-06,5.3227
"mz_618.44249_&_RT_0.836",0.050827,-4.2983,4.7571e-06,5.3227
"C21H44N5O8P",199.92,7.6433,4.91e-06,5.3089
"mz_287.7792_&_RT_0.846",0.051925,-4.2674,5.0556e-06,5.2962
"C6H12ClN2O5P",0.00014624,-12.739,5.1004e-06,5.2924
"C12H23N8O3P",0.1754,-2.5113,5.2216e-06,5.2822
"Cyclonerodiol",244.38,7.933,5.5764e-06,5.2536
"C22H44N8O6S",0.012013,-6.3793,5.9052e-06,5.2288
"3-Hydroxytetradecanedioic acid",0.0034647,-8.1731,5.9164e-06,5.2279
"mz_236.22154_&_RT_7.693",0.00045256,-11.11,6.1236e-06,5.213
"C11H27N4OP",216.99,7.7615,6.1236e-06,5.213
"mz_398.64312_&_RT_0.837",0.014388,-6.119,6.1461e-06,5.2114
"mz_186.82791_&_RT_0.74",1396.4,10.448,6.1712e-06,5.2096
"(15R,18R,21S)-18-Isobutyl-15,21-dimethyl-11-[(1-oxo-2,3-dihydro-1H-inden-4-yl)carbonyl]-2-phenyl-7,8,9,10,11,12,14,15,17,18,20,21-dodecahydro-5H-[1,2,4]triazolo[1,5-d][1,4,7,10,13,16]hexaazacyclononad
ecine-6,13,16,19-tetrone",0.15299,-2.7085,6.3933e-06,5.1943
"D-Methionine",0.00020406,-12.259,6.4126e-06,5.193
"C15H21N8O2P",0.15881,-2.6546,6.8001e-06,5.1675
"D-Arabitol",44.745,5.4837,7.138e-06,5.1464
"12-Aminolauric Acid",4.0143,2.0051,7.9753e-06,5.0983
"1-O-Tetradecanoyl-D-glucitol",0.17976,-2.4759,8.421e-06,5.0746
"mz_244.78643_&_RT_0.837",0.0032702,-8.2564,8.5456e-06,5.0683
"mz_246.78364_&_RT_0.837",0.0032702,-8.2564,8.5456e-06,5.0683
"C33H46N2O2P2",190.44,7.5732,8.5456e-06,5.0683
"C11H26N5PS2",0.15949,-2.6484,8.7353e-06,5.0587
"(1R,2R,4aR,5S,6R)-6-Hydroxy-1-(hydroxymethyl)-5-{2-[(3R)-3-hydroxy-1-pyrrolidinyl]-2-oxoethyl}-1,4a-dimethyldecahydro-2-naphthalenyl (3,4,5-trimethoxyphenyl)carbamate",0.0080619,-6.9547,8.8111e-06,5.055
"mz_243.1828_&_RT_0.858",0.00055915,-10.804,8.8674e-06,5.0522
"C21H38N5O8P",291.63,8.188,8.9196e-06,5.0497
"C13H23N10P",0.0026601,-8.5543,8.9772e-06,5.0469
"allopurinol",0.074767,-3.7415,9.1605e-06,5.0381
"C22H48N5O3PS2",0.0047532,-7.7169,9.6344e-06,5.0162
"C15H37N8O2P",0.1608,-2.6366,9.68e-06,5.0141
"Subericacid",461.13,8.849,1.0042e-05,4.9982
"3-(1H-Tetrazol-1-yl)benzohydrazide",0.00031042,-11.653,1.0176e-05,4.9924
"Pleosporalone A",12.173,3.6056,1.0202e-05,4.9913
"Phytoalexin",849.37,9.7302,1.026e-05,4.9888
"mz_324.71058_&_RT_0.837",0.011626,-6.4266,1.0309e-05,4.9868
"C18H39N8O3P",0.20647,-2.276,1.0326e-05,4.9861
"Thiomorpholine",0.0027642,-8.4989,1.0621e-05,4.9738
"C11H27P3",545.44,9.0913,1.0779e-05,4.9674
"Ergonine",2183.8,11.093,1.1136e-05,4.9533
"C16H31O6P",232.82,7.8631,1.136e-05,4.9446
"1,4-Anhydro-5-O-tetradecanoyl-D-glucitol",478.34,8.9019,1.1504e-05,4.9391
"C14H32ClN3OP2S",0.0071618,-7.1255,1.1504e-05,4.9391
"Val-Met",0.0023754,-8.7176,1.1635e-05,4.9342
"mz_618.4428_&_RT_0.739",22.416,4.4865,1.1816e-05,4.9275
"N-Ethyl-N'-isopropyl-6-[(isopropylideneamino)oxy]-1,3,5-triazine-2,4-diamine",214.95,7.7479,1.1817e-05,4.9275
"mz_190.00048_&_RT_17.497",0.00075226,-10.376,1.1817e-05,4.9275
"1-(2-Naphthyl)ethanol",287.88,8.1693,1.2556e-05,4.9011
"GSK2636771",0.0012029,-9.6993,1.257e-05,4.9007
"mz_414.61694_&_RT_0.837",0.0096697,-6.6923,1.2862e-05,4.8907
"Sulphureuine G",229.9,7.8449,1.2958e-05,4.8874
"C31H42O3P2",1462.9,10.515,1.3362e-05,4.8741
"Mollisinol A",126.77,6.986,1.3905e-05,4.8568
"Ergobine",272.74,8.0914,1.3944e-05,4.8556
"ProstaglandinF1a",488.22,8.9314,1.4319e-05,4.8441
"C13H27N4O3PS",0.0033705,-8.2128,1.4319e-05,4.8441
"mz_484.55469_&_RT_0.837",0.0078341,-6.996,1.5907e-05,4.7984
"Poronitin A",44.913,5.489,1.6352e-05,4.7864
"mz_394.64836_&_RT_0.739",176.27,7.4616,1.6726e-05,4.7766
"mz_280.81783_&_RT_0.829",0.0033034,-8.2418,1.6886e-05,4.7725
"2-Methyl-2-propanyl 4-[(4-{[3-(dimethylamino)-2,2-dimethylpropyl]carbamoyl}-1-piperidinyl)carbonyl]-1-piperidinecarboxylate",0.00034283,-11.51,1.7571e-05,4.7552
"C6H17N6O2P",117.87,6.8811,1.7992e-05,4.7449
"4,10-dihydroxy-10-methyl-dodecan-4-olide",390.53,8.6093,1.8508e-05,4.7326
"mz_486.55194_&_RT_0.837",0.0074763,-7.0635,1.8508e-05,4.7326
"C21H34N9OP",0.00017208,-12.505,1.8651e-05,4.7293
"2R-amino-4S-hydroxy-5-hexynoic acid",3378.1,11.722,1.8651e-05,4.7293
"ethyl 9,9-dimethoxynonanoate",265.95,8.055,1.8693e-05,4.7283
"AspulvinoneE",196.14,7.6157,1.8761e-05,4.7267
"C8H17N6OP",0.0035618,-8.1332,1.9031e-05,4.7205
"Bhimamycin C",30.603,4.9356,1.9031e-05,4.7205
"Myristamidopropyl betaine",754.81,9.56,1.9745e-05,4.7045
"C30H41N2PS",169.22,7.4028,2.0676e-05,4.6845
"5-hydroxy-1-(3-methyl-3-buten-1-ynyl)-7-oxabicyclo[4.1.0]hept-3-en-2-one",111.16,6.7965,2.1469e-05,4.6682
"tert-Butyl 4-(2-isopropyl-2H-tetrazol-5-yl)piperazine-1-carboxylate",84.834,6.4066,2.1469e-05,4.6682
"3-Butyn-1-al",12.898,3.6891,2.2558e-05,4.6467
"mz_131.01029_&_RT_0.831",0.0016534,-9.2403,2.2686e-05,4.6442
"Styrene",3.0553e-05,-14.998,2.3641e-05,4.6263
"C19H37N4O9P",120.27,6.9101,2.4356e-05,4.6134
"Inosine",0.073295,-3.7701,2.5435e-05,4.5946
"mz_122.92425_&_RT_0.729",4941.3,12.271,2.5827e-05,4.5879
"Besarhanamide B",0.0018241,-9.0986,2.5827e-05,4.5879
"mz_206.88556_&_RT_0.826",0.0019324,-9.0154,2.5827e-05,4.5879
"C12H20N5O5P",59.595,5.8971,2.5827e-05,4.5879
"mz_124.03892_&_RT_0.916",51040,15.639,2.7636e-05,4.5585
"mz_118.04942_&_RT_1.019",0.0031976,-8.2888,2.786e-05,4.555
"mz_254.81513_&_RT_0.832",0.0058686,-7.4128,2.786e-05,4.555
"MFCD00021091",0.20006,-2.3215,2.7964e-05,4.5534
"C4H8O5S5",128.29,7.0033,2.889e-05,4.5392
"tert-butyl 4-(S-methylsulfonimidoyl)piperidine-1-carboxylate",0.0074712,-7.0644,2.9566e-05,4.5292
"1_4-Dihydroxy-2-naphthoate",55.828,5.8029,3.0688e-05,4.513
"1,3-Difluoro-5-pentylbenzene",135.78,7.0851,3.1233e-05,4.5054
"C4H9N8O5P",0.22002,-2.1843,3.1549e-05,4.501
"C28H37N2O2PS",111.07,6.7954,3.2944e-05,4.4822
"C13H29P3",172.16,7.4276,3.4742e-05,4.4591
"1-Pyrroline",0.00014723,-12.73,3.5413e-05,4.4508
"C38H37P",49.689,5.6349,3.5413e-05,4.4508
"C12H23N4O2P",10052,13.295,3.6113e-05,4.4423
"mz_170.85402_&_RT_0.839",0.0029166,-8.4215,3.6113e-05,4.4423
"mz_398.64298_&_RT_0.739",69.632,6.1217,3.634e-05,4.4396
"Methyl 1-thio-D-glucopyranosiduronic acid",0.0012917,-9.5965,3.6668e-05,4.4357
"Afrormosin",26.956,4.7525,3.7806e-05,4.4224
"mz_262.75752_&_RT_0.74",1344.5,10.393,3.8192e-05,4.418
"1-Methoxy-3-(methylsulfonyl)-2-butanol",153.27,7.2599,3.8333e-05,4.4164
"C26H44N3O7P",125.19,6.968,3.9138e-05,4.4074
"Toluene",7.0451,2.8166,3.9273e-05,4.4059
"C5H15N8OPS2",0.21562,-2.2135,4.0117e-05,4.3967
"mz_320.71597_&_RT_0.739",388.97,8.6035,4.099e-05,4.3873
"4-Amino-5-hydroxymethyl-2-methylpyrimidine",163.71,7.355,4.1395e-05,4.3831
"C4H11O8P",6058.4,12.565,4.2006e-05,4.3767
"Boc-Inp-OH",292.62,8.1929,4.2151e-05,4.3752
"mz_264.84394_&_RT_0.829",0.0036079,-8.1146,4.2163e-05,4.3751
"C12H17N4O5P",27.131,4.7618,4.2382e-05,4.3728
"2,3,8,9-tetrahydrocineromycin B",216.19,7.7562,4.3099e-05,4.3655
"D-Proline",8.3006e-06,-16.878,4.399e-05,4.3566
"Penicillar C",0.0024423,-8.6776,4.8096e-05,4.3179
"2-Methylcholine",7443.6,12.862,4.8884e-05,4.3108
"mz_193.99688_&_RT_0.706",208.57,7.7044,4.9807e-05,4.3027
"1,3,5-Norcaratriene",7401.8,12.854,5.0234e-05,4.299
"γ-L-glutamyl-L-leucine",6.6592,2.7353,5.0234e-05,4.299
"Heptaethylene Glycol",0.0030258,-8.3684,5.114e-05,4.2912
"N-Acetyl-L-glutamate5-semialdehyde",0.0030759,-8.3448,5.2308e-05,4.2814
"C19H47N7S2",123.66,6.9503,5.4258e-05,4.2655
"Hexanoylglycine",299.04,8.2242,5.5854e-05,4.2529
"Trans-9-hydroxy-3-methyl-8-oxo-dodec-trans-6-en-4-olide",1547.8,10.596,6.4153e-05,4.1928
"RCL R152846",70.888,6.1475,6.4901e-05,4.1878
"mz_254.81509_&_RT_0.733",192.66,7.5899,6.5555e-05,4.1834
"C11H25N3O7S",187.69,7.5522,6.5705e-05,4.1824
"C35H58O7P2S",1114.5,10.122,6.6764e-05,4.1755
"Naphthalene",4.9478e-05,-14.303,6.6772e-05,4.1754
"3-Hydroxycyclohexanone",0.00019181,-12.348,6.7466e-05,4.1709
"GV9100000",0.00028781,-11.763,6.7466e-05,4.1709
"2-Oxovalericacid",14.653,3.8731,7.12e-05,4.1475
"N-(1,3-Benzodioxol-5-yl)-3,4,5-trimethoxybenzamide",383.33,8.5824,7.1723e-05,4.1443
"C11H13PS",0.0058161,-7.4257,7.1723e-05,4.1443
"C30H40OP2",225.82,7.819,7.5324e-05,4.1231
"C22H43NO2P2",65.2,6.0268,7.5789e-05,4.1204
"C12H19PS",512.64,9.0018,7.6277e-05,4.1176
"C7H10N10S2",0.0052647,-7.5694,7.9394e-05,4.1002
"C7H2N6O3",0.00076182,-10.358,8.1353e-05,4.0896
"1-(3_4-dimethoxylphenyl)ethane-1_2-diol",705.47,9.4624,8.311e-05,4.0803
"C12H21N6O2P",127.8,6.9977,8.3468e-05,4.0785
"Pyrazinoic acid",89.107,6.4775,8.5526e-05,4.0679
"(4S)-4_6-Dihydroxy-2_5-dioxohexanoate",2418.9,11.24,8.7001e-05,4.0605
"C10H25N4P",0.004565,-7.7752,8.8587e-05,4.0526
"Penicillinolide A",0.010304,-6.6006,8.8587e-05,4.0526
"aflatoxinB2",277.06,8.1141,9.2843e-05,4.0322
"mz_560.48444_&_RT_0.837",0.015638,-5.9988,9.3308e-05,4.0301
"mz_264.84393_&_RT_0.731",353.03,8.4637,0.00010152,3.9934
"4,5-Dimethoxy-2-nitrobenzonitrile",195.29,7.6095,0.00010291,3.9876
"Secnidazole",0.0056593,-7.4652,0.00011206,3.9505
"C16H36N2O2S2",0.0019584,-8.9961,0.00011356,3.9448
"N~2~-(2,4-Dimethoxyphenyl)-N-(2-methoxyethyl)-N~2~-[(2-nitrophenyl)sulfonyl]glycinamide",154.07,7.2674,0.00011401,3.9431
"Xylarinic acid A",27.288,4.7702,0.00012119,3.9165
"N2-(D-1-Carboxyethyl)-L-lysine",981.83,9.9393,0.00012864,3.8906
"C15H43N9P2S2",0.0014731,-9.4069,0.00012943,3.888
"Fenipentol",0.0013012,-9.5859,0.00013174,3.8803
"(Z)-N-16-hydroxyhexadec-9-enoyl-L-alanine methyl ester",0.16677,-2.5841,0.00013249,3.8778
"C8H19N3O7S",126.07,6.9781,0.00013724,3.8625
"2-[({4-Butyl-5-[1-(dimethylamino)propyl]-4H-1,2,4-triazol-3-yl}sulfanyl)methyl]-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4-amine",48.406,5.5971,0.00013724,3.8625
"6-Acetamido-3-aminohexanoate",0.00032084,-11.606,0.00013953,3.8553
"Indane",9669.4,13.239,0.00014188,3.8481
"Dichotomocej B",0.003053,-8.3556,0.00014706,3.8325
"C20H36N2OP2S",0.0025659,-8.6063,0.00015006,3.8237
"2,4,6-trimethylmelamine",412.5,8.6883,0.00015256,3.8166
"N-[2-(4-Morpholinyl)-5-{4-oxo-3-[2-oxo-2-(1-piperidinyl)ethyl]-3,4-dihydro-1-phthalazinyl}phenyl]propanamide",0.047555,-4.3943,0.00015256,3.8166
"C18H41OP3",173.33,7.4373,0.00015522,3.8091
"D-Asparagine",11.677,3.5456,0.0001575,3.8027
"mz_336.68977_&_RT_0.739",1051.7,10.039,0.00015882,3.7991
"mz_206.88555_&_RT_0.728",844.15,9.7214,0.00016901,3.7721
"3,5,6,7-Tetrahydrotetrazolo[1,5-b][1,2,4]triazine",45871,15.485,0.00016919,3.7716
"(-)-beta-Pinene",0.001354,-9.5286,0.000171,3.767
"1'-{2,5-Dioxo-1-[4-(2-oxo-1-pyrrolidinyl)benzyl]-3-pyrrolidinyl}-1,4'-bipiperidine-4'-carboxamide",172.69,7.432,0.00017148,3.7658
"4-VINYL-2-PICOLINE",0.24199,-2.047,0.00017944,3.7461
"mz_104.07027_&_RT_1.001",0.00039066,-11.322,0.00017987,3.745
"Cyclopentadiene",0.00050437,-10.953,0.00017987,3.745
"Disciformycin A",0.0022223,-8.8138,0.00018332,3.7368
"Lily aldehyde",0.0010771,-9.8586,0.00018908,3.7234
"C8H15N4O5P",171.98,7.4261,0.00019051,3.7201
"C13H20Cl3N3O3",0.0019805,-8.9799,0.00019132,3.7182
"mz_340.68466_&_RT_0.74",253.43,7.9855,0.00019132,3.7182
"mz_246.78361_&_RT_0.739",285.63,8.158,0.00019235,3.7159
"Creatinine",0.00050089,-10.963,0.00019241,3.7158
"Pentaerythritol laurate",1190.3,10.217,0.00020099,3.6968
"Dimethylpyruvic acid",0.0011799,-9.7271,0.00020538,3.6874
"AflatoxinB1",318.52,8.3152,0.00020538,3.6874
"Elaiomycin L",12.487,3.6423,0.00020859,3.6807
"C13H29N6O9P",272.58,8.0905,0.00021173,3.6742
"Dramedilol",75.469,6.2378,0.00021383,3.6699
"C24H42P2",190.59,7.5744,0.0002323,3.634
"C11H29N4OP",167.53,7.3883,0.00023476,3.6294
"3-Dehydroxycarnitine",0.14937,-2.743,0.00023775,3.6239
"8-(4-Ethyl-1-piperazinyl)-3-methyl-7-(2-methyl-2-propen-1-yl)-3,7-dihydro-1H-purine-2,6-dione",580.01,9.1799,0.00024175,3.6166
"C12H29N4OPS2",115.61,6.8531,0.00024798,3.6056
"C17H35P3",0.038514,-4.6985,0.00024879,3.6042
"9-Oxononanoicacid",0.0013388,-9.5449,0.00025191,3.5988
"N-{2-[(2-Methyl-2-propanyl)sulfanyl]ethyl}-N-(tetrahydro-2-furanylmethyl)tetrahydro-3-thiophenamine 1,1-dioxide",64.786,6.0176,0.00025801,3.5884
"Curvulide B2",211.92,7.7274,0.00026399,3.5784
"Aurantiomide B",970.55,9.9227,0.00026957,3.5693
"1,3-BIS(METHYLTHIO)-2-PROPANOL",13312,13.7,0.00027092,3.5672
"C11H17N6O2P",0.00035236,-11.471,0.00027782,3.5562
"6-Azidocaproic acid",0.0023766,-8.7169,0.00027912,3.5542
"C22H37N8O6P",293.53,8.1974,0.00029057,3.5368
"(S,S)-Anacine",7949.4,12.957,0.00029131,3.5356
"Hexadeca-5,9-dienoic acid",0.00051901,-10.912,0.00029492,3.5303
"4-{4-[4-Cyclopropyl-5-(1H-1,2,4-triazol-1-ylmethyl)-4H-1,2,4-triazol-3-yl]-1-piperidinyl}-2-pyrimidinamine",0.0062499,-7.322,0.00030106,3.5213
"C5H9ClN2O9P2",83.433,6.3825,0.00030471,3.5161
"N-Cyclohexyl-1-(2-furoyl)-4-piperidinecarboxamide",0.0017578,-9.152,0.00030557,3.5149
"RH-34",349.28,8.4482,0.00032946,3.4822
"2-Hydroxyhepta-2_4-dienedioate",3625.8,11.824,0.0003299,3.4816
"MFCD00046712",0.0024937,-8.6475,0.0003299,3.4816
"5,7-Dimethoxy-4-phenylcoumarin",1205.9,10.236,0.00033185,3.4791
"Phthoxazolin",0.0030947,-8.336,0.00033185,3.4791
"mz_84.9111_&_RT_0.835",0.0071667,-7.1245,0.00033553,3.4743
"C13H20OP2",0.00093158,-10.068,0.00035101,3.4547
"Neolymphostinol C",1608.8,10.652,0.00036307,3.44
